,LEMMA_CHILD_1,LEMMA_CHILD_2,LEMMA_CHILD_3,LEMMA_GRAND_PARENT,LEMMA_PARENT
23909,trilha,,,impacto,provocar
23910,,,,por,trilha
23911,,,,por,trilha
23912,o,jazzístico,de,provocar,por
23913,A_Marca_da_Maldade,,,por,trilha
23914,,,,de,A_Marca_da_Maldade
23915,-,-,-,trilha,de
23916,,,,de,A_Marca_da_Maldade
23917,,,,de,A_Marca_da_Maldade
23918,tema,,,de,A_Marca_da_Maldade
23919,influenciar,,,A_Marca_da_Maldade,com
23920,por,,,com,tema
23921,Stan_Kenton,e,por,tema,influenciar
23922,,,,influenciar,por
23923,,,,influenciar,por
23924,,,,por,por
23925,até,pianista,,influenciar,por
23926,de,,,por,por
23927,bordel,,,por,pianista
23928,,,,pianista,de
23929,,,,de,A_Marca_da_Maldade
23930,impacto,atenção,-,,
23931,,,,chamar,atenção
23932,o,de,,,chamar
23933,Edwards,,,chamar,atenção
23934,-,procurar,,atenção,de
23935,,,,de,Edwards
23936,,,,Edwards,procurar
23937,1958,,,Edwards,procurar
23938,,,,procurar,em
23939,que,em,músico,de,Edwards
23940,,,,procurar,músico
23941,um,novo,,Edwards,procurar
23942,-,talentoso,e,procurar,músico
23943,,,,músico,novo
23944,,,,músico,novo
23945,,,,músico,novo
23946,,,,músico,novo
23947,compor,,,Edwards,procurar
23948,prefixo,,,procurar,para
23949,,,,compor,prefixo
23950,o,de,,para,compor
23951,telessérie,,,compor,prefixo
23952,,,,de,telessérie
23953,o,-,Peter_Gunn,prefixo,de
23954,,,,de,telessérie
23955,,,,de,telessérie
23956,,,,de,telessérie
23957,,,,,chamar
23958,,,,entrar,Mancini
23959,-,ano,-,entrar,Mancini
23960,,,,Mancini,jovem
23961,,,,jovem,ano
23962,34,,,Mancini,jovem
23963,,,,Mancini,jovem
23964,,,,Mancini,jovem
23965,,,,Mancini,jovem
23966,,,,Mancini,jovem
23967,,,,Mancini,jovem
23968,o,jovem,,,entrar
23969,Mancini,rachar,-,,
23970,,,,,entrar
23971,,,,,entrar
23972,,,,ficar,fanfarra
23973,o,compor,,,ficar
23974,,,,fanfarra,compor
23975,seguir,,,fanfarra,compor
23976,,,,compor,a
23977,que,a,para,ficar,fanfarra
23978,Dizem_que_É_Amor,,,fanfarra,compor
23979,,,,para,Dizem_que_É_Amor
23980,-,-,-,compor,para
23981,,,,para,Dizem_que_É_Amor
23982,,,,para,Dizem_que_É_Amor
23983,,,,para,Dizem_que_É_Amor
23984,,,,para,Dizem_que_É_Amor
23985,,,,,
23986,,,,,
23987,fanfarra,gravar,-,,
23988,,,,ficar,gravar
23989,também,,,,ficar
23990,,,,,
23991,,,,,
23992,,,,,
23993,,,,,
23994,,,,,
23995,,,,,
23996,,,,,
23997,,,,,
23998,,,,,
23999,,,,,
24000,,,,,
24001,,,,,
24002,,,,,
24003,,,,,
24004,,,,,
24005,,,,,
24006,,,,,
24007,,,,,
24008,,,,,ficar
24009,,,,ficar,fanfarra
24010,o,compor,,,ficar
24011,,,,fanfarra,compor
24012,seguir,,,fanfarra,compor
24013,,,,compor,a
24014,que,a,para,ficar,fanfarra
24015,Dizem_que_É_Amor,,,fanfarra,compor
24016,,,,para,Dizem_que_É_Amor
24017,-,-,-,compor,para
24018,,,,para,Dizem_que_É_Amor
24019,,,,para,Dizem_que_É_Amor
24020,,,,para,Dizem_que_É_Amor
24021,,,,para,Dizem_que_É_Amor
24022,,,,,
24023,,,,,
24024,fanfarra,gravar,-,,
24025,,,,ficar,gravar
24026,também,,,,ficar
24027,,,,,
24028,,,,,
24029,,,,,
24030,,,,,
24031,,,,,
24032,,,,,
24033,,,,,
24034,,,,,
24035,,,,,
24036,,,,,
24037,,,,,
24038,,,,,
24039,,,,,
24040,,,,,
24041,,,,,
24042,,,,,
24043,,,,,
24044,,,,,
24045,,,,,ficar
24046,,,,ficar,fanfarra
24047,o,compor,,,ficar
24048,,,,fanfarra,compor
24049,seguir,,,fanfarra,compor
24050,,,,compor,a
24051,que,a,para,ficar,fanfarra
24052,Dizem_que_É_Amor,,,fanfarra,compor
24053,,,,para,Dizem_que_É_Amor
24054,-,-,-,compor,para
24055,,,,para,Dizem_que_É_Amor
24056,,,,para,Dizem_que_É_Amor
24057,,,,para,Dizem_que_É_Amor
24058,,,,para,Dizem_que_É_Amor
24059,,,,,
24060,,,,,
24061,fanfarra,gravar,-,,
24062,,,,ficar,gravar
24063,também,,,,ficar
24064,,,,,
24065,,,,,
24066,,,,,
24067,,,,,
24068,,,,,
24069,,,,,
24070,,,,,
24071,,,,,
24072,,,,,
24073,,,,,
24074,,,,,
24075,,,,,
24076,,,,,
24077,,,,,
24078,,,,,
24079,,,,,
24080,,,,,
24081,,,,,
24082,,,,,ficar
24083,modo,,,,configurar
24084,,,,de,modo
24085,todo,,,configurar,de
24086,,,,,configurar
24087,,,,configurar,parceria
24088,e,longo,,configurar,parceria
24089,,,,parceria,sólido
24090,,,,parceria,sólido
24091,um,sólido,,,configurar
24092,,,,,configurar
24093,de,-,parceria,,
24094,,,,,configurar
24095,comédia,,,,configurar
24096,e,drama,,configurar,alternar
24097,,,,alternar,comédia
24098,variar,,,alternar,comédia
24099,,,,variar,qualidade
24100,cujo,cinematográfico,,drama,variar
24101,,,,variar,qualidade
24102,qualidade,infinitamente,mais,comédia,drama
24103,,,,drama,variar
24104,que,,,drama,variar
24105,virtude,,,variar,mais
24106,,,,que,virtude
24107,o,de,,mais,que
24108,trilha,,,que,virtude
24109,,,,de,trilha
24110,seu,sonoro,,virtude,de
24111,,,,de,trilha
24112,,,,,configurar
24113,modo,,,,configurar
24114,,,,de,modo
24115,todo,,,configurar,de
24116,,,,,configurar
24117,,,,configurar,parceria
24118,e,longo,,configurar,parceria
24119,,,,parceria,sólido
24120,,,,parceria,sólido
24121,um,sólido,,,configurar
24122,,,,,configurar
24123,de,-,parceria,,
24124,,,,,configurar
24125,comédia,,,,configurar
24126,e,drama,,configurar,alternar
24127,,,,alternar,comédia
24128,variar,,,alternar,comédia
24129,,,,variar,qualidade
24130,cujo,cinematográfico,,drama,variar
24131,,,,variar,qualidade
24132,qualidade,infinitamente,mais,comédia,drama
24133,,,,drama,variar
24134,que,,,drama,variar
24135,virtude,,,variar,mais
24136,,,,que,virtude
24137,o,de,,mais,que
24138,trilha,,,que,virtude
24139,,,,de,trilha
24140,seu,sonoro,,virtude,de
24141,,,,de,trilha
24142,,,,,configurar
24143,modo,,,,configurar
24144,,,,de,modo
24145,todo,,,configurar,de
24146,,,,,configurar
24147,,,,configurar,parceria
24148,e,longo,,configurar,parceria
24149,,,,parceria,sólido
24150,,,,parceria,sólido
24151,um,sólido,,,configurar
24152,,,,,configurar
24153,de,-,parceria,,
24154,,,,,configurar
24155,comédia,,,,configurar
24156,e,drama,,configurar,alternar
24157,,,,alternar,comédia
24158,variar,,,alternar,comédia
24159,,,,variar,qualidade
24160,cujo,cinematográfico,,drama,variar
24161,,,,variar,qualidade
24162,qualidade,infinitamente,mais,comédia,drama
24163,,,,drama,variar
24164,que,,,drama,variar
24165,virtude,,,variar,mais
24166,,,,que,virtude
24167,o,de,,mais,que
24168,trilha,,,que,virtude
24169,,,,de,trilha
24170,seu,sonoro,,virtude,de
24171,,,,de,trilha
24172,,,,,configurar
24173,,,,ser,acertar
24174,,,,acertar,dois
24175,o,,,ser,acertar
24176,quando,dois,juntar,,ser
24177,,,,ser,acertar
24178,,,,,ser
24179,,,,ser,Bonequinha_de_Luxo
24180,-,-,-,,ser
24181,,,,ser,Bonequinha_de_Luxo
24182,,,,ser,Bonequinha_de_Luxo
24183,,,,ser,Bonequinha_de_Luxo
24184,,,,ser,Bonequinha_de_Luxo
24185,,,,ser,Bonequinha_de_Luxo
24186,,,,ser,Bonequinha_de_Luxo
24187,,,,ser,Bonequinha_de_Luxo
24188,,,,ser,Bonequinha_de_Luxo
24189,,,,ser,Bonequinha_de_Luxo
24190,,,,,ser
24191,,,,,ser
24192,acertar,-,Bonequinha_de_Luxo,,
24193,,,,ser,festa
24194,um,para,,,ser
24195,sentido,,,ser,festa
24196,,,,para,sentido
24197,,,,para,sentido
24198,todo,o,,festa,para
24199,,,,,ser
24200,,,,,faturamento
24201,e,em,para,,
24202,dobro,,,,faturamento
24203,,,,faturamento,em
24204,compositor,,,,faturamento
24205,,,,para,compositor
24206,o,-,perder,faturamento,para
24207,,,,para,compositor
24208,,,,compositor,perder
24209,,,,compositor,perder
24210,que,não,chance,para,compositor
24211,,,,perder,chance
24212,um,de,,compositor,perder
24213,estourar,,,perder,chance
24214,em,com,,chance,de
24215,hit_parade,,,de,estourar
24216,,,,em,hit_parade
24217,,,,em,hit_parade
24218,o,-,-,estourar,em
24219,,,,em,hit_parade
24220,canção,,,de,estourar
24221,,,,com,canção
24222,um,,,estourar,com
24223,,,,,faturamento
24224,,,,,faturamento
24225,e,em,para,,
24226,dobro,,,,faturamento
24227,,,,faturamento,em
24228,compositor,,,,faturamento
24229,,,,para,compositor
24230,o,-,perder,faturamento,para
24231,,,,para,compositor
24232,,,,compositor,perder
24233,,,,compositor,perder
24234,que,não,chance,para,compositor
24235,,,,perder,chance
24236,um,de,,compositor,perder
24237,estourar,,,perder,chance
24238,em,com,,chance,de
24239,hit_parade,,,de,estourar
24240,,,,em,hit_parade
24241,,,,em,hit_parade
24242,o,-,-,estourar,em
24243,,,,em,hit_parade
24244,canção,,,de,estourar
24245,,,,com,canção
24246,um,,,estourar,com
24247,,,,,faturamento
24248,,,,,reescrever
24249,Dias_Gomes,-,Irmãos_Coragem,,
24250,,,,,reescrever
24251,,,,,reescrever
24252,,,,,reescrever
24253,,,,ganhar,novela
24254,o,assinar,,,ganhar
24255,,,,novela,assinar
24256,,,,novela,assinar
24257,que,Janete_Clair,entre,ganhar,novela
24258,junho,,,novela,assinar
24259,de,e,julho,assinar,entre
24260,70,,,entre,junho
24261,,,,junho,de
24262,,,,entre,junho
24263,de,,,entre,junho
24264,71,,,junho,julho
24265,,,,julho,de
24266,novela,versão,em,,
24267,,,,ganhar,versão
24268,novo,,,,ganhar
24269,globo,,,,ganhar
24270,,,,em,globo
24271,o,,,ganhar,em
24272,95,,,,ganhar
24273,,,,ganhar,em
24274,,,,ganhar,novela
24275,o,assinar,,,ganhar
24276,,,,novela,assinar
24277,,,,novela,assinar
24278,que,Janete_Clair,entre,ganhar,novela
24279,junho,,,novela,assinar
24280,de,e,julho,assinar,entre
24281,70,,,entre,junho
24282,,,,junho,de
24283,,,,entre,junho
24284,de,,,entre,junho
24285,71,,,junho,julho
24286,,,,julho,de
24287,novela,versão,em,,
24288,,,,ganhar,versão
24289,novo,,,,ganhar
24290,globo,,,,ganhar
24291,,,,em,globo
24292,o,,,ganhar,em
24293,95,,,,ganhar
24294,,,,ganhar,em
24295,,,,estar,baiano
24296,o,Dias_Gomes,-,,estar
24297,,,,estar,baiano
24298,,,,estar,baiano
24299,,,,estar,baiano
24300,,,,estar,baiano
24301,baiano,preparar,-,,
24302,,,,estar,preparar
24303,se,para,,,estar
24304,ressuscitar,,,estar,preparar
24305,clássico,,,preparar,para
24306,,,,ressuscitar,clássico
24307,um,de,,para,ressuscitar
24308,teledramaturgia,,,ressuscitar,clássico
24309,,,,de,teledramaturgia
24310,o,brasileiro,,clássico,de
24311,,,,de,teledramaturgia
24312,,,,,estar
24313,,,,estar,baiano
24314,o,Dias_Gomes,-,,estar
24315,,,,estar,baiano
24316,,,,estar,baiano
24317,,,,estar,baiano
24318,,,,estar,baiano
24319,baiano,preparar,-,,
24320,,,,estar,preparar
24321,se,para,,,estar
24322,ressuscitar,,,estar,preparar
24323,clássico,,,preparar,para
24324,,,,ressuscitar,clássico
24325,um,de,,para,ressuscitar
24326,teledramaturgia,,,ressuscitar,clássico
24327,,,,de,teledramaturgia
24328,o,brasileiro,,clássico,de
24329,,,,de,teledramaturgia
24330,,,,,estar
24331,vir,,,começar,reescrever
24332,,,,semana,vir
24333,que,,,reescrever,semana
24334,,,,,começar
24335,-,a,reescrever,,
24336,,,,,começar
24337,semana,Irmãos_Coragem,,,começar
24338,,,,reescrever,Irmãos_Coragem
24339,-,-,-,começar,reescrever
24340,,,,reescrever,Irmãos_Coragem
24341,,,,reescrever,Irmãos_Coragem
24342,de,,,reescrever,Irmãos_Coragem
24343,Janete_Clair,,,Irmãos_Coragem,novela
24344,exibir,,,novela,de
24345,,,,Janete_Clair,exibir
24346,,,,exibir,globo
24347,o,,,Janete_Clair,exibir
24348,que,globo,com,de,Janete_Clair
24349,sucesso,,,Janete_Clair,exibir
24350,,,,com,sucesso
24351,enorme,,,exibir,com
24352,junho,,,Janete_Clair,exibir
24353,de,e,julho,exibir,entre
24354,1970,,,entre,junho
24355,,,,junho,de
24356,,,,entre,junho
24357,de,,,entre,junho
24358,1971,,,junho,julho
24359,,,,julho,de
24360,,,,,começar
24361,vir,,,começar,reescrever
24362,,,,semana,vir
24363,que,,,reescrever,semana
24364,,,,,começar
24365,-,a,reescrever,,
24366,,,,,começar
24367,semana,Irmãos_Coragem,,,começar
24368,,,,reescrever,Irmãos_Coragem
24369,-,-,-,começar,reescrever
24370,,,,reescrever,Irmãos_Coragem
24371,,,,reescrever,Irmãos_Coragem
24372,de,,,reescrever,Irmãos_Coragem
24373,Janete_Clair,,,Irmãos_Coragem,novela
24374,exibir,,,novela,de
24375,,,,Janete_Clair,exibir
24376,,,,exibir,globo
24377,o,,,Janete_Clair,exibir
24378,que,globo,com,de,Janete_Clair
24379,sucesso,,,Janete_Clair,exibir
24380,,,,com,sucesso
24381,enorme,,,exibir,com
24382,junho,,,Janete_Clair,exibir
24383,de,e,julho,exibir,entre
24384,1970,,,entre,junho
24385,,,,junho,de
24386,,,,entre,junho
24387,de,,,entre,junho
24388,1971,,,junho,julho
24389,,,,julho,de
24390,,,,,começar
24391,,,,pretender,emissora
24392,o,,,,pretender
24393,emissora,lançar,-,,
24394,remake,em,-,,pretender
24395,,,,lançar,remake
24396,,,,lançar,remake
24397,o,-,-,pretender,lançar
24398,,,,lançar,remake
24399,janeiro,,,pretender,lançar
24400,de,,,lançar,em
24401,95,,,em,janeiro
24402,,,,janeiro,de
24403,,,,pretender,lançar
24404,18h,,,pretender,lançar
24405,,,,a,18h
24406,o,,,lançar,a
24407,,,,pretender,lançar
24408,lugar,,,pretender,lançar
24409,,,,em,lugar
24410,o,de,,lançar,em
24411,-,Tropicaliente,-,em,lugar
24412,,,,lugar,de
24413,,,,lugar,de
24414,,,,lugar,de
24415,,,,,pretender
24416,,,,pretender,emissora
24417,o,,,,pretender
24418,emissora,lançar,-,,
24419,remake,em,-,,pretender
24420,,,,lançar,remake
24421,,,,lançar,remake
24422,o,-,-,pretender,lançar
24423,,,,lançar,remake
24424,janeiro,,,pretender,lançar
24425,de,,,lançar,em
24426,95,,,em,janeiro
24427,,,,janeiro,de
24428,,,,pretender,lançar
24429,18h,,,pretender,lançar
24430,,,,a,18h
24431,o,,,lançar,a
24432,,,,pretender,lançar
24433,lugar,,,pretender,lançar
24434,,,,em,lugar
24435,o,de,,lançar,em
24436,-,Tropicaliente,-,em,lugar
24437,,,,lugar,de
24438,,,,lugar,de
24439,,,,lugar,de
24440,,,,,pretender
24441,centro,,,,estar
24442,,,,em,centro
24443,o,de,,estar,em
24444,esforço,,,em,centro
24445,,,,de,esforço
24446,,,,de,esforço
24447,,,,de,esforço
24448,todo,esse,nosso,centro,de
24449,qualidade,,,de,esforço
24450,,,,esforço,de
24451,em,cliente,-,,
24452,,,,estar,cliente
24453,,,,estar,cliente
24454,o,nosso,,,estar
24455,,,,,estar
24456,,,,,definir
24457,,,,definir,cliente
24458,o,,,,definir
24459,,,,,definir
24460,é,cliente,quem,,
24461,,,,definir,requisito
24462,o,ter,,,definir
24463,,,,requisito,ter
24464,que,cumprir,,definir,requisito
24465,e,superar,,requisito,ter
24466,,,,ter,cumprir
24467,,,,cumprir,superar
24468,,,,cumprir,superar
24469,,,,cumprir,superar
24470,-,até_mesmo,-,ter,cumprir
24471,,,,,definir
24472,qualidade,em,e,,definir
24473,,,,definir,praticar
24474,plenitude,,,definir,praticar
24475,,,,em,plenitude
24476,seu,,,praticar,em
24477,,,,definir,praticar
24478,-,assim,-,definir,praticar
24479,,,,praticar,obter
24480,,,,praticar,obter
24481,,,,praticar,obter
24482,,,,obter,benefício
24483,seu,-,ser,praticar,obter
24484,,,,obter,benefício
24485,,,,benefício,ser
24486,que,competitividade,,obter,benefício
24487,-,lucratividade,e,benefício,ser
24488,,,,ser,competitividade
24489,,,,ser,competitividade
24490,,,,ser,competitividade
24491,,,,ser,competitividade
24492,,,,,definir
24493,,,,,definir
24494,,,,definir,cliente
24495,o,,,,definir
24496,,,,,definir
24497,é,cliente,quem,,
24498,,,,definir,requisito
24499,o,ter,,,definir
24500,,,,requisito,ter
24501,que,cumprir,,definir,requisito
24502,e,superar,,requisito,ter
24503,,,,ter,cumprir
24504,,,,cumprir,superar
24505,,,,cumprir,superar
24506,,,,cumprir,superar
24507,-,até_mesmo,-,ter,cumprir
24508,,,,,definir
24509,qualidade,em,e,,definir
24510,,,,definir,praticar
24511,plenitude,,,definir,praticar
24512,,,,em,plenitude
24513,seu,,,praticar,em
24514,,,,definir,praticar
24515,-,assim,-,definir,praticar
24516,,,,praticar,obter
24517,,,,praticar,obter
24518,,,,praticar,obter
24519,,,,obter,benefício
24520,seu,-,ser,praticar,obter
24521,,,,obter,benefício
24522,,,,benefício,ser
24523,que,competitividade,,obter,benefício
24524,-,lucratividade,e,benefício,ser
24525,,,,ser,competitividade
24526,,,,ser,competitividade
24527,,,,ser,competitividade
24528,,,,ser,competitividade
24529,,,,,definir
24530,,,,,definir
24531,,,,definir,cliente
24532,o,,,,definir
24533,,,,,definir
24534,é,cliente,quem,,
24535,,,,definir,requisito
24536,o,ter,,,definir
24537,,,,requisito,ter
24538,que,cumprir,,definir,requisito
24539,e,superar,,requisito,ter
24540,,,,ter,cumprir
24541,,,,cumprir,superar
24542,,,,cumprir,superar
24543,,,,cumprir,superar
24544,-,até_mesmo,-,ter,cumprir
24545,,,,,definir
24546,qualidade,em,e,,definir
24547,,,,definir,praticar
24548,plenitude,,,definir,praticar
24549,,,,em,plenitude
24550,seu,,,praticar,em
24551,,,,definir,praticar
24552,-,assim,-,definir,praticar
24553,,,,praticar,obter
24554,,,,praticar,obter
24555,,,,praticar,obter
24556,,,,obter,benefício
24557,seu,-,ser,praticar,obter
24558,,,,obter,benefício
24559,,,,benefício,ser
24560,que,competitividade,,obter,benefício
24561,-,lucratividade,e,benefício,ser
24562,,,,ser,competitividade
24563,,,,ser,competitividade
24564,,,,ser,competitividade
24565,,,,ser,competitividade
24566,,,,,definir
24567,dever,-,,,
24568,,,,entender,dever
24569,como,,,entender,dever
24570,respeito,,,dever,palavra
24571,-,atenção,e,palavra,como
24572,,,,como,respeito
24573,,,,como,respeito
24574,,,,como,respeito
24575,,,,como,respeito
24576,,,,entender,dever
24577,eficiência,,,entender,dever
24578,,,,incluir,eficiência
24579,o,em,,dever,incluir
24580,prestação,,,incluir,eficiência
24581,,,,em,prestação
24582,o,de,,eficiência,em
24583,serviço,,,em,prestação
24584,,,,de,serviço
24585,o,,,prestação,de
24586,,,,entender,dever
24587,que,palavra,-,,entender
24588,do_que,,,entender,dever
24589,nunca,,,dever,muito
24590,,,,muito,do_que
24591,,,,entender,dever
24592,conduta,,,entender,dever
24593,,,,nortear,conduta
24594,nosso,,,dever,nortear
24595,relação,,,entender,dever
24596,,,,em,relação
24597,o,com,,dever,em
24598,cliente,,,em,relação
24599,,,,com,cliente
24600,nosso,,,relação,com
24601,,,,,entender
24602,dever,-,,,
24603,,,,entender,dever
24604,como,,,entender,dever
24605,respeito,,,dever,palavra
24606,-,atenção,e,palavra,como
24607,,,,como,respeito
24608,,,,como,respeito
24609,,,,como,respeito
24610,,,,como,respeito
24611,,,,entender,dever
24612,eficiência,,,entender,dever
24613,,,,incluir,eficiência
24614,o,em,,dever,incluir
24615,prestação,,,incluir,eficiência
24616,,,,em,prestação
24617,o,de,,eficiência,em
24618,serviço,,,em,prestação
24619,,,,de,serviço
24620,o,,,prestação,de
24621,,,,entender,dever
24622,que,palavra,-,,entender
24623,do_que,,,entender,dever
24624,nunca,,,dever,muito
24625,,,,muito,do_que
24626,,,,entender,dever
24627,conduta,,,entender,dever
24628,,,,nortear,conduta
24629,nosso,,,dever,nortear
24630,relação,,,entender,dever
24631,,,,em,relação
24632,o,com,,dever,em
24633,cliente,,,em,relação
24634,,,,com,cliente
24635,nosso,,,relação,com
24636,,,,,entender
24637,dever,-,,,
24638,,,,entender,dever
24639,como,,,entender,dever
24640,respeito,,,dever,palavra
24641,-,atenção,e,palavra,como
24642,,,,como,respeito
24643,,,,como,respeito
24644,,,,como,respeito
24645,,,,como,respeito
24646,,,,entender,dever
24647,eficiência,,,entender,dever
24648,,,,incluir,eficiência
24649,o,em,,dever,incluir
24650,prestação,,,incluir,eficiência
24651,,,,em,prestação
24652,o,de,,eficiência,em
24653,serviço,,,em,prestação
24654,,,,de,serviço
24655,o,,,prestação,de
24656,,,,entender,dever
24657,que,palavra,-,,entender
24658,do_que,,,entender,dever
24659,nunca,,,dever,muito
24660,,,,muito,do_que
24661,,,,entender,dever
24662,conduta,,,entender,dever
24663,,,,nortear,conduta
24664,nosso,,,dever,nortear
24665,relação,,,entender,dever
24666,,,,em,relação
24667,o,com,,dever,em
24668,cliente,,,em,relação
24669,,,,com,cliente
24670,nosso,,,relação,com
24671,,,,,entender
24672,-,PDT,-,,exigir
24673,,,,exigir,PT
24674,,,,exigir,PT
24675,,,,exigir,PT
24676,,,,exigir,PT
24677,,,,exigir,PT
24678,,,,PT,contra
24679,,,,PT,contra
24680,,,,PT,contra
24681,o,outro,-,exigir,PT
24682,,,,PT,contra
24683,,,,PT,contra
24684,contrário,,,PT,contra
24685,a,,,contra,partido
24686,revisão,,,partido,contrário
24687,,,,a,revisão
24688,o,,,contrário,a
24689,,,,PT,contra
24690,PT,começar,-,,
24691,,,,exigir,começar
24692,,,,começar,votação
24693,o,de,,exigir,começar
24694,congresso,,,começar,votação
24695,,,,de,congresso
24696,o,revisor,,votação,de
24697,,,,de,congresso
24698,que,votação,por,,exigir
24699,questão,,,exigir,começar
24700,,,,por,questão
24701,o,tributário,,começar,por
24702,,,,por,questão
24703,,,,,exigir
24704,-,PDT,-,,exigir
24705,,,,exigir,PT
24706,,,,exigir,PT
24707,,,,exigir,PT
24708,,,,exigir,PT
24709,,,,exigir,PT
24710,,,,PT,contra
24711,,,,PT,contra
24712,,,,PT,contra
24713,o,outro,-,exigir,PT
24714,,,,PT,contra
24715,,,,PT,contra
24716,contrário,,,PT,contra
24717,a,,,contra,partido
24718,revisão,,,partido,contrário
24719,,,,a,revisão
24720,o,,,contrário,a
24721,,,,PT,contra
24722,PT,começar,-,,
24723,,,,exigir,começar
24724,,,,começar,votação
24725,o,de,,exigir,começar
24726,congresso,,,começar,votação
24727,,,,de,congresso
24728,o,revisor,,votação,de
24729,,,,de,congresso
24730,que,votação,por,,exigir
24731,questão,,,exigir,começar
24732,,,,por,questão
24733,o,tributário,,começar,por
24734,,,,por,questão
24735,,,,,exigir
24736,,,,irritar,reivindicação
24737,,,,irritar,reivindicação
24738,o,novo,,,irritar
24739,reivindicação,partido,-,,
24740,,,,irritar,partido
24741,o,favorável,-,,irritar
24742,a,,,irritar,partido
24743,revisão,,,partido,favorável
24744,,,,a,revisão
24745,o,,,favorável,a
24746,,,,irritar,partido
24747,,,,partido,criticar
24748,que,proposta,,irritar,partido
24749,,,,criticar,proposta
24750,o,,,partido,criticar
24751,,,,,irritar
24752,,,,irritar,reivindicação
24753,,,,irritar,reivindicação
24754,o,novo,,,irritar
24755,reivindicação,partido,-,,
24756,,,,irritar,partido
24757,o,favorável,-,,irritar
24758,a,,,irritar,partido
24759,revisão,,,partido,favorável
24760,,,,a,revisão
24761,o,,,favorável,a
24762,,,,irritar,partido
24763,,,,partido,criticar
24764,que,proposta,,irritar,partido
24765,,,,criticar,proposta
24766,o,,,partido,criticar
24767,,,,,irritar
24768,dia,,,,inaugurar
24769,,,,em,dia
24770,o,1º,de,inaugurar,em
24771,,,,em,dia
24772,março,,,em,dia
24773,,,,dia,de
24774,,,,,inaugurar
24775,,,,inaugurar,fundação
24776,o,,,,inaugurar
24777,em,-,fundação,,
24778,,,,inaugurar,escola
24779,,,,inaugurar,escola
24780,mais,uma,,,inaugurar
24781,,,,,inaugurar
24782,,,,,ser
24783,ela,construir,-,,
24784,em,com,,,ser
24785,Marília,,,ser,construir
24786,-,cidade,-,construir,em
24787,,,,em,Marília
24788,ser,,,em,Marília
24789,,,,ser,fundar
24790,fundar,banco,,Marília,cidade
24791,onde,,,cidade,ser
24792,,,,ser,banco
24793,o,,,cidade,ser
24794,,,,em,Marília
24795,capacidade,,,ser,construir
24796,para,,,construir,com
24797,aluno,,,com,capacidade
24798,,,,para,aluno
24799,mil,,,capacidade,para
24800,,,,,ser
24801,em,,,,receber
24802,escola,,,receber,como
24803,,,,em,escola
24804,,,,em,escola
24805,o,outro,,como,em
24806,,,,,receber
24807,,,,,receber
24808,,,,receber,aluno
24809,o,,,,receber
24810,como,-,ali,,
24811,,,,,receber
24812,,,,receber,ensino
24813,o,-,material,,receber
24814,,,,receber,ensino
24815,,,,ensino,material
24816,o,didático,,receber,ensino
24817,,,,ensino,material
24818,,,,receber,ensino
24819,,,,ensino,uniforme
24820,o,,,receber,ensino
24821,,,,receber,ensino
24822,,,,ensino,alimentação
24823,o,,,receber,ensino
24824,,,,receber,ensino
24825,médico,,,receber,ensino
24826,e,odontológico,,ensino,tratamento
24827,,,,tratamento,médico
24828,,,,tratamento,médico
24829,,,,,receber
24830,,,,abalar,exclusão
24831,o,de,,,abalar
24832,Maradona,,,abalar,exclusão
24833,,,,exclusão,de
24834,,,,,abalar
24835,ter,,,,abalar
24836,jogar,,,abalar,por
24837,dopar,contra,,por,ter
24838,,,,ter,jogar
24839,Nigéria,,,ter,jogar
24840,,,,contra,Nigéria
24841,o,,,jogar,contra
24842,,,,,abalar
24843,exclusão,-,por,,
24844,,,,abalar,jogador
24845,o,,,,abalar
24846,,,,,abalar
24847,,,,abalar,exclusão
24848,o,de,,,abalar
24849,Maradona,,,abalar,exclusão
24850,,,,exclusão,de
24851,,,,,abalar
24852,ter,,,,abalar
24853,jogar,,,abalar,por
24854,dopar,contra,,por,ter
24855,,,,ter,jogar
24856,Nigéria,,,ter,jogar
24857,,,,contra,Nigéria
24858,o,,,jogar,contra
24859,,,,,abalar
24860,exclusão,-,por,,
24861,,,,abalar,jogador
24862,o,,,,abalar
24863,,,,,abalar
24864,,,,passar,time
24865,o,,,,passar
24866,,,,,passar
24867,aguerrir,,,passar,discutir
24868,,,,antes,aguerrir
24869,bastante,e,solidário,discutir,antes
24870,,,,antes,aguerrir
24871,,,,antes,aguerrir
24872,,,,,passar
24873,time,-,-,,
24874,,,,,passar
24875,antes,em,,,passar
24876,campo,,,passar,discutir
24877,,,,discutir,em
24878,,,,,passar
24879,,,,fazer,Argentina
24880,o,,,,fazer
24881,Argentina,opção,-,,
24882,,,,fazer,opção
24883,um,ofensivo,,,fazer
24884,,,,opção,ofensivo
24885,bastante,,,fazer,opção
24886,,,,,fazer
24887,entre,-,,,
24888,4-3-3,,,,variar
24889,,,,entre,4-3-3
24890,um,e,4-2-4,variar,entre
24891,,,,entre,4-3-3
24892,,,,4-3-3,4-2-4
24893,um,,,entre,4-3-3
24894,,,,,variar
24895,,,,tentar,técnico
24896,o,Alfio_Basile,,,tentar
24897,,,,tentar,técnico
24898,técnico,aproveitar,-,,
24899,jogador,,,,tentar
24900,,,,aproveitar,jogador
