,R
24517,B
24518,I
24519,I
24520,I
24521,B
24522,I
24523,I
24524,I
24525,O
24526,B
24527,I
24528,I
24529,O
24530,B
24531,I
24532,I
24533,I
24534,I
24535,I
24536,I
24537,O
24538,B
24539,I
24540,I
24541,I
24542,I
24543,I
24544,I
24545,I
24546,I
24547,I
24548,B
24549,B
24550,I
24551,I
24552,O
24553,B
24554,O
24555,O
24556,B
24557,B
24558,B
24559,I
24560,I
24561,I
24562,I
24563,I
24564,I
24565,I
24566,I
24567,I
24568,O
24569,B
24570,I
24571,I
24572,I
24573,I
24574,I
24575,I
24576,I
24577,I
24578,I
24579,I
24580,I
24581,I
24582,I
24583,I
24584,I
24585,I
24586,I
24587,I
24588,I
24589,O
24590,O
24591,O
24592,O
24593,O
24594,O
24595,O
24596,O
24597,O
24598,O
24599,O
24600,O
24601,O
24602,O
24603,O
24604,O
24605,O
24606,B
24607,B
24608,B
24609,I
24610,I
24611,O
24612,O
24613,O
24614,O
24615,O
24616,O
24617,O
24618,O
24619,O
24620,O
24621,O
24622,O
24623,O
24624,O
24625,O
24626,O
24627,O
24628,O
24629,O
24630,O
24631,O
24632,O
24633,O
24634,O
24635,O
24636,O
24637,O
24638,O
24639,O
24640,O
24641,O
24642,O
24643,O
24644,O
24645,O
24646,O
24647,O
24648,O
24649,B
24650,O
24651,B
24652,O
24653,B
24654,I
24655,I
24656,I
24657,I
24658,I
24659,I
24660,I
24661,I
24662,I
24663,O
24664,B
24665,B
24666,I
24667,I
24668,I
24669,I
24670,I
24671,I
24672,I
24673,I
24674,I
24675,I
24676,I
24677,I
24678,I
24679,I
24680,I
24681,I
24682,I
24683,I
24684,I
24685,I
24686,I
24687,I
24688,I
24689,I
24690,I
24691,I
24692,I
24693,I
24694,I
24695,I
24696,I
24697,I
24698,O
24699,O
24700,O
24701,O
24702,O
24703,O
24704,O
24705,O
24706,O
24707,O
24708,O
24709,B
24710,B
24711,I
24712,I
24713,I
24714,I
24715,I
24716,I
24717,I
24718,O
24719,O
24720,O
24721,O
24722,O
24723,O
24724,O
24725,O
24726,O
24727,O
24728,O
24729,O
24730,O
24731,O
24732,O
24733,O
24734,O
24735,O
24736,B
24737,I
24738,I
24739,I
24740,I
24741,I
24742,I
24743,O
24744,B
24745,I
24746,I
24747,I
24748,I
24749,I
24750,I
24751,I
24752,I
24753,O
24754,O
24755,B
24756,I
24757,I
24758,O
24759,B
24760,B
24761,I
24762,B
24763,I
24764,I
24765,I
24766,I
24767,I
24768,O
24769,B
24770,I
24771,I
24772,I
24773,I
24774,I
24775,I
24776,I
24777,I
24778,I
24779,I
24780,I
24781,I
24782,I
24783,I
24784,I
24785,I
24786,I
24787,B
24788,B
24789,I
24790,I
24791,I
24792,I
24793,I
24794,I
24795,I
24796,I
24797,I
24798,I
24799,I
24800,O
24801,O
24802,O
24803,O
24804,O
24805,O
24806,O
24807,O
24808,O
24809,O
24810,O
24811,O
24812,O
24813,O
24814,O
24815,O
24816,O
24817,O
24818,O
24819,O
24820,O
24821,B
24822,I
24823,I
24824,I
24825,I
24826,I
24827,B
24828,B
24829,I
24830,I
24831,I
24832,O
24833,B
24834,I
24835,I
24836,B
24837,B
24838,I
24839,I
24840,I
24841,I
24842,I
24843,I
24844,I
24845,I
24846,I
24847,I
24848,O
24849,O
24850,O
24851,O
24852,O
24853,O
24854,O
24855,O
24856,O
24857,O
24858,O
24859,O
24860,B
24861,B
24862,B
24863,I
24864,O
24865,B
24866,I
24867,I
24868,I
24869,I
24870,I
24871,O
24872,B
24873,I
24874,B
24875,B
24876,I
24877,I
24878,O
24879,B
24880,O
24881,B
24882,B
24883,I
24884,I
24885,I
24886,I
24887,I
24888,I
24889,I
24890,I
24891,I
24892,B
24893,I
24894,I
24895,I
24896,I
24897,O
24898,B
24899,I
24900,I
24901,I
24902,I
24903,O
24904,B
24905,B
24906,I
24907,B
24908,B
24909,B
24910,I
24911,I
24912,I
24913,I
24914,I
24915,I
24916,I
24917,I
24918,I
24919,I
24920,I
24921,I
24922,I
24923,I
24924,I
24925,I
24926,O
24927,O
24928,O
24929,O
24930,O
24931,O
24932,O
24933,O
24934,B
24935,B
24936,B
24937,I
24938,I
24939,O
24940,O
24941,O
24942,O
24943,O
24944,B
24945,I
24946,I
24947,I
24948,O
24949,B
24950,I
24951,I
24952,I
24953,I
24954,I
24955,I
24956,O
24957,B
24958,B
24959,I
24960,O
24961,B
24962,I
24963,O
24964,B
24965,I
24966,I
24967,I
24968,I
24969,O
24970,O
24971,O
24972,B
24973,B
24974,I
24975,O
24976,B
24977,I
24978,B
24979,B
24980,I
24981,I
24982,I
24983,O
24984,B
24985,B
24986,I
24987,I
24988,I
24989,I
24990,I
24991,O
24992,O
24993,O
24994,O
24995,O
24996,B
24997,B
24998,I
24999,I
25000,O
25001,B
25002,B
25003,B
25004,B
25005,I
25006,I
25007,B
25008,I
25009,I
25010,I
25011,I
25012,I
25013,I
25014,I
25015,I
25016,I
25017,I
25018,I
25019,I
25020,I
25021,I
25022,I
25023,I
25024,I
25025,I
25026,I
25027,I
25028,I
25029,I
25030,I
25031,I
25032,O
25033,O
25034,O
25035,O
25036,O
25037,O
25038,O
25039,O
25040,B
25041,B
25042,B
25043,I
25044,I
25045,I
25046,I
25047,I
25048,I
25049,I
25050,I
25051,I
25052,I
25053,I
25054,I
25055,I
25056,I
25057,I
25058,I
25059,I
25060,I
25061,I
25062,I
25063,I
25064,O
25065,O
25066,O
25067,O
25068,O
25069,O
25070,O
25071,O
25072,O
25073,O
25074,O
25075,O
25076,O
25077,O
25078,O
25079,O
25080,O
25081,O
25082,O
25083,O
25084,O
25085,O
25086,O
25087,O
25088,B
25089,B
25090,I
25091,I
25092,I
25093,I
25094,I
25095,I
25096,O
25097,B
25098,I
25099,I
25100,I
25101,I
25102,I
25103,O
25104,B
25105,I
25106,I
25107,I
25108,I
25109,I
25110,I
25111,I
25112,I
25113,I
25114,I
25115,I
25116,I
25117,I
25118,I
25119,I
25120,I
25121,B
25122,B
25123,I
25124,I
25125,B
25126,I
25127,I
25128,I
25129,O
25130,O
25131,O
25132,B
25133,O
25134,B
25135,O
25136,B
25137,I
25138,I
25139,I
25140,I
25141,I
25142,I
25143,I
25144,I
25145,I
25146,O
25147,B
25148,I
25149,I
25150,I
25151,I
25152,I
25153,I
25154,I
25155,I
25156,I
25157,I
25158,I
25159,I
25160,I
25161,I
25162,I
25163,I
25164,I
25165,I
25166,I
25167,I
25168,I
25169,I
25170,I
25171,I
25172,I
25173,I
25174,I
25175,I
25176,O
25177,B
25178,B
25179,B
25180,I
25181,I
25182,I
25183,I
25184,I
25185,I
25186,I
25187,I
25188,I
25189,O
25190,O
25191,O
25192,O
25193,O
25194,O
25195,O
25196,B
25197,O
25198,O
25199,O
25200,O
25201,O
25202,O
25203,O
25204,O
25205,O
25206,O
25207,O
25208,O
25209,O
25210,B
25211,O
25212,B
25213,B
25214,O
25215,O
25216,B
25217,B
25218,B
25219,I
25220,I
25221,O
25222,B
25223,B
25224,I
25225,I
25226,I
25227,I
25228,O
25229,O
25230,O
25231,O
25232,O
25233,O
25234,B
25235,B
25236,B
25237,I
25238,O
25239,O
25240,O
25241,O
25242,B
25243,I
25244,I
25245,I
25246,I
25247,I
25248,O
25249,O
25250,B
25251,O
25252,B
25253,I
25254,B
25255,O
25256,O
25257,B
25258,O
25259,O
25260,O
25261,O
25262,O
25263,B
25264,B
25265,I
25266,I
25267,O
25268,O
25269,O
25270,O
25271,O
25272,O
25273,B
25274,I
25275,O
25276,O
25277,O
25278,O
25279,O
25280,O
25281,B
25282,B
25283,I
25284,O
25285,B
25286,B
25287,B
25288,I
25289,I
25290,I
25291,I
25292,I
25293,I
25294,I
25295,I
25296,I
25297,O
25298,B
25299,O
25300,O
25301,B
25302,B
25303,I
25304,I
25305,I
25306,I
25307,B
25308,I
25309,I
25310,O
25311,B
25312,O
25313,B
25314,B
25315,I
25316,O
25317,B
25318,B
25319,I
25320,I
25321,I
25322,I
25323,I
25324,I
25325,I
25326,I
25327,I
25328,I
25329,I
25330,I
25331,I
25332,I
25333,O
25334,O
25335,O
25336,O
25337,B
25338,B
25339,I
25340,B
25341,I
25342,I
25343,I
25344,I
25345,I
25346,I
25347,I
25348,I
25349,I
25350,O
25351,B
25352,I
25353,I
25354,B
25355,B
25356,B
25357,I
25358,I
25359,I
25360,I
25361,I
25362,I
25363,O
25364,O
25365,O
25366,O
25367,O
25368,O
25369,O
25370,O
25371,O
25372,O
25373,O
25374,O
25375,O
25376,O
25377,O
25378,O
25379,O
25380,O
25381,O
25382,O
25383,O
25384,O
25385,O
25386,O
25387,O
25388,O
25389,O
25390,O
25391,O
25392,O
25393,O
25394,O
25395,O
25396,O
25397,O
25398,O
25399,O
25400,O
25401,B
25402,B
25403,O
25404,O
25405,B
25406,O
25407,O
25408,O
25409,O
25410,B
25411,B
25412,B
25413,I
25414,O
25415,B
25416,I
25417,I
25418,I
25419,I
25420,I
25421,I
25422,I
25423,I
25424,O
25425,O
25426,O
25427,O
25428,O
25429,O
25430,O
25431,O
25432,O
25433,O
25434,O
25435,O
25436,O
25437,B
25438,B
25439,B
25440,I
25441,I
25442,I
25443,I
25444,O
25445,B
25446,O
25447,O
25448,O
25449,O
25450,O
25451,B
25452,O
25453,O
25454,B
25455,B
25456,I
25457,I
25458,I
25459,I
25460,I
25461,I
25462,O
25463,O
25464,O
25465,O
25466,B
25467,I
25468,I
25469,I
25470,I
25471,I
25472,B
25473,B
25474,I
25475,I
25476,B
25477,I
25478,I
25479,I
25480,I
25481,I
25482,I
25483,I
25484,B
25485,I
25486,O
25487,B
25488,I
25489,B
25490,B
25491,I
25492,I
25493,I
25494,I
25495,I
25496,I
25497,I
25498,I
25499,O
25500,B
25501,I
25502,I
25503,I
25504,I
25505,I
25506,I
25507,I
25508,I
25509,I
25510,I
25511,I
25512,I
25513,I
25514,I
25515,I
25516,I
25517,I
25518,I
25519,I
25520,I
25521,I
25522,I
25523,I
25524,I
25525,I
25526,I
25527,I
25528,I
25529,I
25530,I
25531,O
25532,O
25533,O
25534,O
25535,B
25536,I
25537,I
25538,I
25539,I
25540,I
25541,B
25542,B
25543,I
25544,O
25545,O
25546,O
25547,O
25548,O
25549,O
25550,O
25551,O
25552,O
25553,O
25554,O
25555,O
25556,O
25557,O
25558,O
25559,O
25560,O
25561,O
25562,O
25563,O
25564,O
25565,O
25566,O
25567,O
25568,O
25569,O
25570,O
25571,O
25572,O
25573,O
25574,O
25575,O
25576,O
25577,O
25578,O
25579,O
25580,O
25581,O
25582,O
25583,O
25584,O
25585,O
25586,O
25587,O
25588,O
25589,O
25590,O
25591,B
25592,B
25593,O
25594,O
25595,B
25596,B
25597,I
25598,I
25599,B
25600,I
25601,I
25602,I
25603,I
25604,I
25605,I
25606,I
25607,I
25608,I
25609,I
25610,I
25611,I
25612,I
25613,I
25614,I
25615,I
25616,I
25617,I
25618,I
25619,I
25620,I
25621,O
25622,O
25623,O
25624,O
25625,O
25626,O
25627,O
25628,O
25629,O
25630,O
25631,O
25632,O
25633,O
25634,O
25635,O
25636,O
25637,O
25638,O
25639,O
25640,O
25641,O
25642,O
25643,O
25644,O
25645,O
25646,O
25647,B
25648,B
25649,B
25650,I
25651,I
25652,I
25653,I
25654,O
25655,O
25656,O
25657,O
25658,O
25659,O
25660,O
25661,O
25662,O
25663,O
25664,O
25665,O
25666,O
25667,B
25668,I
25669,I
25670,B
25671,O
25672,B
25673,B
25674,I
25675,I
25676,I
25677,O
25678,B
25679,I
25680,O
25681,B
25682,I
25683,I
25684,I
25685,I
25686,B
25687,B
25688,I
25689,I
25690,I
25691,I
25692,B
25693,I
25694,I
25695,O
25696,O
25697,O
25698,B
25699,I
25700,B
25701,B
25702,I
25703,I
25704,I
25705,I
25706,O
25707,O
25708,O
25709,O
25710,B
25711,I
25712,I
25713,I
25714,I
25715,I
25716,I
25717,I
25718,I
25719,I
25720,I
25721,O
25722,B
25723,O
25724,B
25725,O
25726,B
25727,O
25728,B
25729,B
25730,I
25731,I
25732,I
25733,I
25734,I
25735,I
25736,I
25737,I
25738,I
25739,I
25740,I
25741,I
25742,I
25743,O
25744,B
25745,I
25746,O
25747,B
25748,B
25749,I
25750,I
25751,B
25752,I
25753,I
25754,O
25755,B
25756,I
25757,I
25758,I
25759,I
25760,I
25761,I
25762,I
25763,I
25764,I
25765,B
25766,B
25767,I
25768,I
25769,I
25770,I
25771,I
25772,I
25773,I
25774,I
25775,I
25776,O
25777,O
25778,O
25779,O
25780,O
25781,O
25782,O
25783,O
25784,O
25785,O
25786,O
25787,O
25788,O
25789,B
25790,I
25791,O
25792,B
25793,B
25794,I
25795,I
25796,I
25797,I
25798,O
25799,O
25800,O
25801,B
25802,B
25803,B
25804,O
25805,O
25806,O
25807,O
25808,O
25809,O
25810,O
25811,O
25812,B
25813,I
25814,B
25815,B
25816,O
25817,B
25818,I
25819,B
25820,B
25821,I
25822,I
25823,I
25824,I
25825,I
25826,I
25827,I
25828,O
25829,O
25830,O
25831,O
25832,O
25833,B
25834,B
25835,I
25836,I
25837,I
25838,I
25839,I
25840,O
25841,O
25842,B
25843,B
25844,B
25845,B
25846,I
25847,O
25848,O
25849,O
25850,O
25851,O
25852,O
25853,O
25854,O
25855,O
25856,O
25857,O
25858,B
25859,I
25860,I
25861,I
25862,I
25863,I
25864,I
25865,I
25866,I
25867,I
25868,I
25869,I
25870,O
25871,O
25872,B
25873,B
25874,O
25875,O
25876,B
25877,I
25878,I
25879,O
25880,B
25881,B
25882,B
25883,I
25884,I
25885,I
25886,I
25887,I
25888,I
25889,I
25890,I
25891,I
25892,I
25893,O
25894,O
25895,O
25896,O
25897,O
25898,O
25899,O
25900,O
25901,O
25902,O
25903,O
25904,O
25905,O
25906,O
25907,O
25908,B
25909,B
25910,I
25911,I
25912,I
25913,I
25914,I
25915,I
25916,I
25917,O
25918,O
25919,O
25920,O
25921,O
25922,O
25923,B
25924,I
25925,I
25926,I
25927,I
25928,I
25929,I
25930,I
25931,I
25932,I
25933,I
25934,I
25935,I
25936,I
25937,I
25938,I
25939,I
25940,I
25941,I
25942,O
25943,B
25944,B
25945,I
25946,O
25947,B
25948,I
25949,B
25950,B
25951,I
25952,I
25953,I
25954,I
25955,I
25956,I
25957,I
25958,I
25959,I
25960,O
25961,O
25962,B
25963,B
25964,I
25965,I
25966,I
25967,O
25968,B
25969,I
25970,I
25971,I
25972,I
25973,I
25974,I
25975,I
25976,I
25977,I
25978,O
25979,O
25980,O
25981,O
25982,O
25983,O
25984,O
25985,O
25986,O
25987,O
25988,B
25989,B
25990,B
25991,B
25992,I
25993,I
25994,I
25995,I
25996,O
25997,B
25998,I
25999,B
26000,B
26001,B
26002,I
26003,B
26004,I
26005,I
26006,I
26007,I
26008,I
26009,I
26010,I
26011,I
26012,I
26013,I
26014,O
26015,O
26016,O
26017,O
26018,O
26019,O
26020,O
26021,O
26022,B
26023,I
26024,B
26025,B
26026,I
26027,B
26028,I
26029,I
26030,I
26031,I
26032,O
26033,O
26034,O
26035,B
26036,I
26037,B
26038,B
26039,I
26040,O
26041,O
26042,O
26043,O
26044,O
26045,O
26046,O
26047,O
26048,O
26049,O
26050,O
26051,O
26052,O
26053,O
26054,O
26055,O
26056,O
26057,O
26058,O
26059,O
26060,O
26061,O
26062,O
26063,O
26064,O
26065,O
26066,B
26067,I
26068,B
26069,B
26070,B
26071,I
26072,I
26073,O
26074,O
26075,O
26076,O
26077,O
26078,O
26079,O
26080,O
26081,B
26082,I
26083,B
26084,B
26085,B
26086,I
26087,I
26088,I
26089,I
26090,I
26091,I
26092,I
26093,I
26094,I
26095,I
26096,I
26097,O
26098,O
26099,O
26100,O
26101,O
26102,O
26103,O
26104,O
26105,O
26106,B
26107,O
26108,B
26109,I
26110,B
26111,I
26112,I
26113,O
26114,O
26115,O
26116,O
26117,O
26118,O
26119,O
26120,O
26121,O
26122,O
26123,O
26124,B
26125,B
26126,O
26127,O
26128,O
26129,O
26130,O
26131,O
26132,O
26133,O
26134,O
26135,O
26136,O
26137,O
26138,O
26139,O
26140,O
26141,O
26142,O
26143,O
26144,O
26145,O
26146,O
26147,B
26148,B
26149,I
26150,I
26151,I
26152,I
26153,O
26154,B
26155,I
26156,I
26157,I
26158,I
26159,I
26160,I
26161,I
26162,I
26163,I
26164,B
26165,B
26166,I
26167,I
26168,I
26169,I
26170,I
26171,O
26172,O
26173,O
26174,O
26175,O
26176,O
26177,O
26178,B
26179,B
26180,I
26181,B
26182,I
26183,I
26184,O
26185,O
26186,O
26187,O
26188,O
26189,B
26190,I
26191,I
26192,B
26193,B
26194,I
26195,O
26196,O
26197,O
26198,O
26199,O
26200,O
26201,O
26202,O
26203,O
26204,O
26205,O
26206,O
26207,O
26208,O
26209,O
26210,O
26211,O
26212,O
26213,B
26214,I
26215,I
26216,I
26217,I
26218,I
26219,I
26220,I
26221,I
26222,I
26223,I
26224,I
26225,I
26226,I
26227,I
26228,O
26229,O
26230,B
26231,B
26232,I
26233,I
26234,I
26235,I
26236,I
26237,I
26238,O
26239,B
26240,B
26241,B
26242,I
26243,I
26244,I
26245,I
26246,I
26247,I
26248,B
26249,I
26250,I
26251,I
26252,I
26253,I
26254,I
26255,I
26256,I
26257,I
26258,O
26259,B
26260,B
26261,I
26262,I
26263,B
26264,O
26265,O
26266,O
26267,O
26268,O
26269,O
26270,O
26271,O
26272,O
26273,O
26274,O
26275,B
26276,I
26277,I
26278,I
26279,O
26280,O
26281,B
26282,B
26283,B
26284,I
26285,I
26286,I
26287,I
26288,I
26289,I
26290,O
26291,O
26292,O
26293,O
26294,O
26295,O
26296,O
26297,B
26298,O
26299,O
26300,B
26301,B
26302,B
26303,I
26304,I
26305,I
26306,O
26307,O
26308,B
26309,I
26310,I
26311,O
26312,B
26313,I
26314,B
26315,B
26316,O
26317,B
26318,I
26319,I
26320,O
26321,B
26322,B
26323,I
26324,I
26325,I
26326,O
26327,O
26328,O
26329,O
26330,B
26331,I
26332,I
26333,I
26334,I
26335,I
26336,I
26337,I
26338,I
26339,O
26340,O
26341,B
26342,O
26343,O
26344,O
26345,O
26346,O
26347,O
26348,O
26349,O
26350,B
26351,I
26352,I
26353,I
26354,B
26355,B
26356,I
26357,I
26358,I
26359,B
26360,I
26361,I
26362,O
26363,B
26364,I
26365,O
26366,B
26367,O
26368,B
26369,I
26370,I
26371,I
26372,I
26373,I
26374,I
26375,I
26376,I
26377,I
26378,I
26379,I
26380,O
26381,B
26382,O
26383,O
26384,O
26385,B
26386,B
26387,I
26388,I
26389,I
26390,B
26391,I
26392,O
26393,O
26394,O
26395,O
26396,B
26397,B
26398,I
26399,I
26400,I
26401,I
26402,I
26403,I
26404,I
26405,O
26406,O
26407,O
26408,O
26409,O
26410,B
26411,I
26412,I
26413,I
26414,I
26415,I
26416,I
26417,I
26418,I
26419,I
26420,I
26421,I
26422,O
26423,O
26424,B
26425,B
26426,O
26427,B
26428,I
26429,I
26430,O
26431,B
26432,B
26433,I
26434,I
26435,I
26436,I
26437,O
26438,B
26439,I
26440,I
26441,I
26442,I
26443,I
26444,I
26445,I
26446,I
26447,I
26448,I
26449,O
26450,B
26451,I
26452,B
26453,B
26454,I
26455,I
26456,O
26457,O
26458,O
26459,O
26460,O
26461,O
26462,O
26463,O
26464,O
26465,B
26466,O
26467,B
26468,I
26469,I
26470,I
26471,I
26472,I
26473,I
26474,I
26475,I
26476,I
26477,I
26478,O
26479,B
26480,B
26481,I
26482,I
26483,I
26484,I
26485,I
26486,I
26487,I
26488,I
26489,O
26490,B
26491,I
26492,I
26493,B
26494,B
26495,B
26496,I
26497,I
26498,I
26499,I
26500,I
26501,I
26502,I
26503,I
26504,I
26505,I
26506,I
26507,I
26508,I
26509,I
26510,I
26511,I
26512,I
26513,O
26514,O
26515,O
26516,O
26517,O
26518,O
26519,O
26520,O
26521,O
26522,O
26523,O
26524,O
26525,O
26526,O
26527,O
26528,O
26529,O
26530,B
26531,I
26532,B
26533,O
26534,B
26535,B
26536,I
26537,O
26538,O
26539,B
26540,B
26541,I
26542,I
26543,I
26544,I
26545,I
26546,I
26547,I
26548,I
26549,I
26550,I
26551,I
26552,I
26553,I
26554,I
26555,O
26556,O
26557,O
26558,O
26559,O
26560,O
26561,B
26562,B
26563,B
26564,I
26565,I
26566,I
26567,O
26568,O
26569,O
26570,O
26571,O
26572,O
26573,O
26574,B
26575,B
26576,I
26577,I
26578,I
26579,I
26580,I
26581,I
26582,I
26583,I
26584,I
26585,I
26586,I
26587,I
26588,I
26589,O
26590,O
26591,O
26592,O
26593,O
26594,O
26595,O
26596,O
26597,O
26598,O
26599,O
26600,O
26601,O
26602,O
26603,O
26604,O
26605,O
26606,O
26607,O
26608,O
26609,O
26610,O
26611,O
26612,O
26613,O
26614,O
26615,O
26616,O
26617,O
26618,O
26619,O
26620,O
26621,O
26622,O
26623,O
26624,O
26625,O
26626,O
26627,B
26628,B
26629,I
26630,I
26631,I
26632,I
26633,I
26634,I
26635,I
26636,I
26637,I
26638,I
26639,I
26640,I
26641,I
26642,I
26643,I
26644,I
26645,I
26646,I
26647,O
26648,O
26649,O
26650,O
26651,O
26652,O
26653,O
26654,O
26655,O
26656,O
26657,O
26658,O
26659,O
26660,O
26661,O
26662,O
26663,O
26664,O
26665,O
26666,O
26667,O
26668,O
26669,B
26670,B
26671,B
26672,O
26673,B
26674,O
26675,B
26676,I
26677,I
26678,I
26679,I
26680,I
26681,I
26682,I
26683,I
26684,O
26685,O
26686,O
26687,O
26688,O
26689,O
26690,O
26691,O
26692,O
26693,O
26694,O
26695,O
26696,O
26697,O
26698,O
26699,O
26700,O
26701,O
26702,O
26703,O
26704,O
26705,O
26706,O
26707,O
26708,O
26709,O
26710,O
26711,O
26712,B
26713,B
26714,I
26715,I
26716,I
26717,I
26718,I
26719,I
26720,I
26721,O
26722,O
26723,O
26724,O
26725,O
26726,O
26727,O
26728,O
26729,O
26730,O
26731,O
26732,O
26733,O
26734,O
26735,O
26736,O
26737,O
26738,O
26739,O
26740,O
26741,O
26742,O
26743,B
26744,O
26745,O
26746,O
26747,O
26748,O
26749,O
26750,O
26751,O
26752,O
26753,O
26754,B
26755,B
26756,B
26757,I
26758,O
26759,O
26760,B
26761,I
26762,I
26763,O
26764,B
26765,B
26766,I
26767,I
26768,O
26769,O
26770,O
26771,O
26772,B
26773,I
26774,I
26775,I
26776,I
26777,I
26778,I
26779,I
26780,I
26781,I
26782,O
26783,B
26784,O
26785,B
26786,I
26787,O
26788,B
26789,I
26790,I
26791,I
26792,I
26793,I
26794,I
26795,B
26796,B
26797,I
26798,B
26799,I
26800,O
26801,O
26802,O
26803,O
26804,O
26805,O
26806,O
26807,O
26808,O
26809,O
26810,O
26811,O
26812,O
26813,O
26814,O
26815,O
26816,O
26817,O
26818,O
26819,O
26820,O
26821,O
26822,O
26823,O
26824,O
26825,O
26826,O
26827,O
26828,O
26829,O
26830,O
26831,O
26832,O
26833,O
26834,O
26835,O
26836,O
26837,O
26838,O
26839,O
26840,O
26841,B
26842,B
26843,O
26844,O
26845,O
26846,O
26847,O
26848,O
26849,O
26850,O
26851,O
26852,O
26853,O
26854,O
26855,O
26856,O
26857,O
26858,B
26859,I
26860,I
26861,I
26862,I
26863,I
26864,O
26865,O
26866,B
26867,B
26868,I
26869,I
26870,I
26871,I
26872,I
26873,I
26874,I
26875,I
26876,I
26877,I
26878,O
26879,O
26880,O
26881,O
26882,O
26883,O
26884,O
26885,B
26886,B
26887,I
26888,I
26889,I
26890,I
26891,I
26892,I
26893,I
26894,I
26895,I
26896,O
26897,O
26898,O
26899,O
26900,O
26901,O
26902,O
26903,O
26904,O
26905,O
26906,O
26907,O
26908,B
26909,B
26910,I
26911,B
26912,I
26913,I
26914,O
26915,O
26916,O
26917,O
26918,O
26919,B
26920,B
26921,I
26922,I
26923,I
26924,I
26925,O
26926,O
26927,O
26928,O
26929,O
26930,O
26931,O
26932,O
26933,O
26934,O
26935,O
26936,O
26937,O
26938,O
26939,O
26940,O
26941,O
26942,O
26943,O
26944,O
26945,O
26946,O
26947,O
26948,O
26949,O
26950,O
26951,B
26952,B
26953,B
26954,I
26955,I
26956,I
26957,I
26958,I
26959,I
26960,O
26961,O
26962,O
26963,O
26964,O
26965,B
26966,I
26967,I
26968,I
26969,I
26970,I
26971,I
26972,I
26973,I
26974,I
26975,I
26976,I
26977,I
26978,I
26979,I
26980,I
26981,I
26982,I
26983,I
26984,I
26985,O
26986,O
26987,B
26988,B
26989,O
26990,B
26991,I
26992,I
26993,I
26994,O
26995,O
26996,O
26997,B
26998,B
26999,I
27000,I
27001,O
27002,O
27003,O
27004,O
27005,O
27006,O
27007,O
27008,O
27009,B
27010,B
27011,B
27012,I
27013,I
27014,I
27015,I
27016,I
27017,O
27018,O
27019,O
27020,O
27021,O
27022,O
27023,O
27024,O
27025,O
27026,O
27027,O
27028,O
27029,O
27030,O
27031,B
27032,B
27033,I
27034,O
27035,O
27036,B
27037,B
27038,B
27039,B
27040,I
27041,I
27042,I
27043,I
27044,B
27045,I
27046,B
27047,B
27048,I
27049,I
27050,O
27051,O
27052,O
27053,O
27054,O
27055,O
27056,O
27057,O
27058,O
27059,O
27060,O
27061,O
27062,O
27063,O
27064,O
27065,O
27066,O
27067,O
27068,O
27069,O
27070,O
27071,O
27072,O
27073,O
27074,O
27075,O
27076,O
27077,O
27078,O
27079,B
27080,B
27081,I
27082,B
27083,I
27084,I
27085,O
27086,B
27087,B
27088,O
27089,O
27090,B
27091,B
27092,I
27093,I
27094,I
27095,O
27096,O
27097,O
27098,O
27099,O
27100,O
27101,O
27102,O
27103,O
27104,O
27105,O
27106,O
27107,O
27108,O
27109,O
27110,B
27111,B
27112,I
27113,O
27114,O
27115,O
27116,O
27117,O
27118,O
27119,O
27120,O
27121,O
27122,O
27123,O
27124,O
27125,O
27126,O
27127,O
27128,O
27129,O
27130,O
27131,O
27132,B
27133,B
27134,I
27135,I
27136,I
27137,I
27138,I
27139,O
27140,O
27141,O
27142,O
27143,O
27144,O
27145,O
27146,O
27147,O
27148,O
27149,O
27150,O
27151,O
27152,O
27153,O
27154,O
27155,O
27156,O
27157,O
27158,O
27159,O
27160,O
27161,O
27162,O
27163,O
27164,O
27165,O
27166,O
27167,O
27168,O
27169,B
27170,O
27171,B
27172,B
27173,I
27174,I
27175,I
27176,I
27177,I
27178,I
27179,O
27180,O
27181,O
27182,O
27183,O
27184,O
27185,O
27186,O
27187,O
27188,O
27189,O
27190,O
27191,O
27192,O
27193,O
27194,O
27195,O
27196,O
27197,O
27198,O
27199,O
27200,O
27201,O
27202,O
27203,O
27204,O
27205,O
27206,O
27207,O
27208,O
27209,O
27210,O
27211,O
27212,O
27213,O
27214,O
27215,O
27216,O
27217,O
27218,O
27219,O
27220,O
27221,O
27222,O
27223,O
27224,O
27225,O
27226,O
27227,O
27228,O
27229,O
27230,O
27231,O
27232,O
27233,O
27234,O
27235,O
27236,O
27237,O
27238,O
27239,O
27240,O
27241,O
27242,O
27243,O
27244,O
27245,O
27246,O
27247,O
27248,O
27249,O
27250,O
27251,O
27252,O
27253,O
27254,O
27255,O
27256,O
27257,O
27258,O
27259,O
27260,O
27261,O
27262,O
27263,O
27264,O
27265,O
27266,O
27267,O
27268,O
27269,O
27270,O
27271,O
27272,B
27273,B
27274,I
27275,I
27276,I
27277,I
27278,I
27279,I
27280,I
27281,I
27282,I
27283,I
27284,I
27285,I
27286,I
27287,I
27288,I
27289,I
27290,I
27291,I
27292,I
27293,I
27294,I
27295,I
27296,I
27297,I
27298,I
27299,I
27300,I
27301,I
27302,I
27303,I
27304,I
27305,I
27306,I
27307,I
27308,I
27309,I
27310,I
27311,I
27312,I
27313,I
27314,I
27315,I
