,SHALLOW_CHUNKS
42024,O
42025,B-PP
42026,I-PP
42027,B-PP
42028,I-PP
42029,I-PP
42030,I-PP
42031,O
42032,B-NP
42033,I-NP
42034,I-NP
42035,B-VP
42036,B-NP
42037,O
42038,B-NP
42039,O
42040,B-NP
42041,O
42042,B-NP
42043,O
42044,O
42045,B-VP
42046,B-PP
42047,I-PP
42048,B-PP
42049,I-PP
42050,I-PP
42051,B-PP
42052,I-PP
42053,B-PP
42054,I-PP
42055,O
42056,B-PP
42057,I-PP
42058,B-PP
42059,I-PP
42060,I-PP
42061,I-PP
42062,O
42063,B-VP
42064,B-PP
42065,I-PP
42066,I-PP
42067,I-PP
42068,O
42069,B-PP
42070,I-PP
42071,O
42072,B-PP
42073,I-PP
42074,I-PP
42075,I-PP
42076,I-PP
42077,O
42078,B-NP
42079,B-VP
42080,B-VP
42081,B-NP
42082,I-NP
42083,B-PP
42084,I-PP
42085,I-PP
42086,B-PP
42087,B-VP
42088,B-NP
42089,I-NP
42090,B-PP
42091,I-PP
42092,I-PP
42093,O
42094,B-VP
42095,B-NP
42096,O
42097,B-NP
42098,B-VP
42099,B-VP
42100,B-NP
42101,I-NP
42102,B-PP
42103,I-PP
42104,I-PP
42105,B-PP
42106,B-VP
42107,B-NP
42108,I-NP
42109,B-PP
42110,I-PP
42111,I-PP
42112,O
42113,B-VP
42114,B-NP
42115,O
42116,B-NP
42117,B-VP
42118,B-VP
42119,B-NP
42120,I-NP
42121,B-PP
42122,I-PP
42123,I-PP
42124,B-PP
42125,B-VP
42126,B-NP
42127,I-NP
42128,B-PP
42129,I-PP
42130,I-PP
42131,O
42132,B-VP
42133,B-NP
42134,O
42135,B-NP
42136,I-NP
42137,B-VP
42138,O
42139,B-NP
42140,I-NP
42141,B-VP
42142,B-NP
42143,I-NP
42144,O
42145,B-PP
42146,B-VP
42147,B-NP
42148,I-NP
42149,B-PP
42150,I-PP
42151,I-PP
42152,O
42153,O
42154,B-NP
42155,I-NP
42156,B-VP
42157,O
42158,B-NP
42159,I-NP
42160,B-VP
42161,B-NP
42162,I-NP
42163,O
42164,B-PP
42165,B-VP
42166,B-NP
42167,I-NP
42168,B-PP
42169,I-PP
42170,I-PP
42171,O
42172,O
42173,B-NP
42174,I-NP
42175,B-VP
42176,O
42177,B-NP
42178,I-NP
42179,B-VP
42180,B-NP
42181,I-NP
42182,O
42183,B-PP
42184,B-VP
42185,B-NP
42186,I-NP
42187,B-PP
42188,I-PP
42189,I-PP
42190,O
42191,O
42192,B-NP
42193,I-NP
42194,B-NP
42195,B-VP
42196,B-ADJP
42197,O
42198,B-NP
42199,B-VP
42200,B-NP
42201,B-PP
42202,I-PP
42203,I-PP
42204,B-NP
42205,B-VP
42206,O
42207,B-NP
42208,I-NP
42209,B-PP
42210,I-PP
42211,I-PP
42212,O
42213,B-PP
42214,I-PP
42215,I-PP
42216,B-VP
42217,O
42218,B-NP
42219,I-NP
42220,B-VP
42221,B-ADJP
42222,I-ADJP
42223,B-PP
42224,I-PP
42225,I-PP
42226,O
42227,O
42228,B-NP
42229,I-NP
42230,B-NP
42231,B-VP
42232,B-ADJP
42233,O
42234,B-NP
42235,B-VP
42236,B-NP
42237,B-PP
42238,I-PP
42239,I-PP
42240,B-NP
42241,B-VP
42242,O
42243,B-NP
42244,I-NP
42245,B-PP
42246,I-PP
42247,I-PP
42248,O
42249,B-PP
42250,I-PP
42251,I-PP
42252,B-VP
42253,O
42254,B-NP
42255,I-NP
42256,B-VP
42257,B-ADJP
42258,I-ADJP
42259,B-PP
42260,I-PP
42261,I-PP
42262,O
42263,O
42264,B-NP
42265,I-NP
42266,B-NP
42267,B-VP
42268,B-ADJP
42269,O
42270,B-NP
42271,B-VP
42272,B-NP
42273,B-PP
42274,I-PP
42275,I-PP
42276,B-NP
42277,B-VP
42278,O
42279,B-NP
42280,I-NP
42281,B-PP
42282,I-PP
42283,I-PP
42284,O
42285,B-PP
42286,I-PP
42287,I-PP
42288,B-VP
42289,O
42290,B-NP
42291,I-NP
42292,B-VP
42293,B-ADJP
42294,I-ADJP
42295,B-PP
42296,I-PP
42297,I-PP
42298,O
42299,O
42300,B-PP
42301,I-PP
42302,I-PP
42303,B-VP
42304,B-PP
42305,I-PP
42306,I-PP
42307,O
42308,B-NP
42309,I-NP
42310,B-PP
42311,I-PP
42312,I-PP
42313,B-VP
42314,O
42315,O
42316,B-NP
42317,I-NP
42318,B-PP
42319,I-PP
42320,B-VP
42321,B-PP
42322,I-PP
42323,I-PP
42324,I-PP
42325,O
42326,B-PP
42327,I-PP
42328,I-PP
42329,I-PP
42330,O
42331,B-PP
42332,I-PP
42333,I-PP
42334,B-VP
42335,B-PP
42336,I-PP
42337,I-PP
42338,O
42339,B-NP
42340,I-NP
42341,B-PP
42342,I-PP
42343,I-PP
42344,B-VP
42345,O
42346,O
42347,B-NP
42348,I-NP
42349,B-PP
42350,I-PP
42351,B-VP
42352,B-PP
42353,I-PP
42354,I-PP
42355,I-PP
42356,O
42357,B-PP
42358,I-PP
42359,I-PP
42360,I-PP
42361,O
42362,B-PP
42363,I-PP
42364,I-PP
42365,O
42366,B-NP
42367,B-VP
42368,B-ADVP
42369,B-NP
42370,I-NP
42371,B-VP
42372,B-NP
42373,I-NP
42374,I-NP
42375,O
42376,O
42377,B-PP
42378,I-PP
42379,I-PP
42380,O
42381,B-NP
42382,B-VP
42383,B-ADVP
42384,B-NP
42385,I-NP
42386,B-VP
42387,B-NP
42388,I-NP
42389,I-NP
42390,O
42391,O
42392,O
42393,B-VP
42394,B-NP
42395,O
42396,B-NP
42397,I-NP
42398,I-NP
42399,B-VP
42400,I-VP
42401,I-VP
42402,B-PP
42403,I-PP
42404,I-PP
42405,I-PP
42406,O
42407,B-NP
42408,I-NP
42409,B-VP
42410,B-ADJP
42411,O
42412,O
42413,B-VP
42414,O
42415,B-NP
42416,I-NP
42417,I-NP
42418,B-VP
42419,I-VP
42420,I-VP
42421,B-PP
42422,I-PP
42423,I-PP
42424,I-PP
42425,O
42426,B-NP
42427,I-NP
42428,B-VP
42429,B-ADJP
42430,O
42431,O
42432,B-VP
42433,O
42434,B-NP
42435,I-NP
42436,B-VP
42437,I-VP
42438,I-VP
42439,B-PP
42440,I-PP
42441,I-PP
42442,O
42443,B-ADVP
42444,B-VP
42445,B-NP
42446,I-NP
42447,B-PP
42448,I-PP
42449,I-PP
42450,I-PP
42451,O
42452,B-NP
42453,I-NP
42454,I-NP
42455,I-NP
42456,I-NP
42457,I-NP
42458,B-VP
42459,B-NP
42460,I-NP
42461,B-PP
42462,I-PP
42463,I-PP
42464,I-PP
42465,I-PP
42466,I-PP
42467,I-PP
42468,I-PP
42469,I-PP
42470,I-PP
42471,I-PP
42472,I-PP
42473,B-NP
42474,B-VP
42475,B-NP
42476,I-NP
42477,B-PP
42478,I-PP
42479,I-PP
42480,I-PP
42481,I-PP
42482,I-PP
42483,O
42484,B-NP
42485,I-NP
42486,I-NP
42487,I-NP
42488,I-NP
42489,I-NP
42490,B-VP
42491,B-NP
42492,I-NP
42493,B-PP
42494,I-PP
42495,I-PP
42496,I-PP
42497,I-PP
42498,I-PP
42499,I-PP
42500,I-PP
42501,I-PP
42502,I-PP
42503,I-PP
42504,I-PP
42505,B-NP
42506,B-VP
42507,B-NP
42508,I-NP
42509,B-PP
42510,I-PP
42511,I-PP
42512,I-PP
42513,I-PP
42514,I-PP
42515,O
42516,B-VP
42517,B-PP
42518,I-PP
42519,I-PP
42520,I-PP
42521,I-PP
42522,I-PP
42523,O
42524,B-NP
42525,I-NP
42526,B-VP
42527,B-PP
42528,I-PP
42529,I-PP
42530,I-PP
42531,B-NP
42532,O
42533,B-NP
42534,O
42535,B-NP
42536,O
42537,B-NP
42538,I-NP
42539,B-VP
42540,I-VP
42541,I-VP
42542,B-ADVP
42543,B-PP
42544,I-PP
42545,I-PP
42546,I-PP
42547,O
42548,B-VP
42549,B-ADVP
42550,B-NP
42551,I-NP
42552,I-NP
42553,B-PP
42554,I-PP
42555,I-PP
42556,O
42557,B-NP
42558,I-NP
42559,B-VP
42560,I-VP
42561,I-VP
42562,B-ADVP
42563,B-PP
42564,I-PP
42565,I-PP
42566,I-PP
42567,O
42568,B-VP
42569,B-ADVP
42570,B-NP
42571,I-NP
42572,I-NP
42573,B-PP
42574,I-PP
42575,I-PP
42576,O
42577,B-NP
42578,B-VP
42579,B-NP
42580,I-NP
42581,B-ADVP
42582,I-ADVP
42583,I-ADVP
42584,B-NP
42585,B-VP
42586,B-NP
42587,I-NP
42588,B-NP
42589,I-NP
42590,B-ADVP
42591,O
42592,B-ADVP
42593,O
42594,B-PP
42595,I-PP
42596,I-PP
42597,O
42598,B-NP
42599,I-NP
42600,B-PP
42601,I-PP
42602,B-VP
42603,I-VP
42604,B-ADVP
42605,B-NP
42606,I-NP
42607,B-PP
42608,I-PP
42609,O
42610,O
42611,B-VP
42612,B-NP
42613,I-NP
42614,O
42615,B-PP
42616,I-PP
42617,I-PP
42618,O
42619,B-NP
42620,I-NP
42621,B-PP
42622,I-PP
42623,B-VP
42624,I-VP
42625,B-ADVP
42626,B-NP
42627,I-NP
42628,B-PP
42629,I-PP
42630,O
42631,O
42632,B-VP
42633,B-NP
42634,I-NP
42635,O
42636,B-NP
42637,I-NP
42638,B-VP
42639,I-VP
42640,B-PP
42641,I-PP
42642,I-PP
42643,B-PP
42644,I-PP
42645,O
42646,O
42647,B-NP
42648,I-NP
42649,B-VP
42650,I-VP
42651,I-VP
42652,B-PP
42653,I-PP
42654,I-PP
42655,I-PP
42656,I-PP
42657,I-PP
42658,O
42659,B-NP
42660,I-NP
42661,B-VP
42662,I-VP
42663,B-PP
42664,I-PP
42665,I-PP
42666,B-PP
42667,I-PP
42668,O
42669,O
42670,B-NP
42671,I-NP
42672,B-VP
42673,I-VP
42674,I-VP
42675,B-PP
42676,I-PP
42677,I-PP
42678,I-PP
42679,I-PP
42680,I-PP
42681,O
42682,B-NP
42683,B-VP
42684,B-PP
42685,I-PP
42686,I-PP
42687,I-PP
42688,I-PP
42689,I-PP
42690,B-NP
42691,O
42692,B-NP
42693,O
42694,B-NP
42695,I-NP
42696,I-NP
42697,B-VP
42698,I-VP
42699,B-PP
42700,I-PP
42701,I-PP
42702,O
42703,O
42704,B-ADVP
42705,O
42706,B-ADVP
42707,B-VP
42708,I-VP
42709,B-PP
42710,I-PP
42711,I-PP
42712,O
42713,B-NP
42714,I-NP
42715,I-NP
42716,B-PP
42717,I-PP
42718,I-PP
42719,B-VP
42720,B-PP
42721,I-PP
42722,I-PP
42723,B-PP
42724,I-PP
42725,I-PP
42726,O
42727,B-NP
42728,I-NP
42729,I-NP
42730,B-VP
42731,I-VP
42732,B-PP
42733,I-PP
42734,I-PP
42735,O
42736,O
42737,B-ADVP
42738,O
42739,B-ADVP
42740,B-VP
42741,I-VP
42742,B-PP
42743,I-PP
42744,I-PP
42745,O
42746,B-NP
42747,I-NP
42748,I-NP
42749,B-PP
42750,I-PP
42751,I-PP
42752,B-VP
42753,B-PP
42754,I-PP
42755,I-PP
42756,B-PP
42757,I-PP
42758,I-PP
42759,O
42760,B-NP
42761,I-NP
42762,B-PP
42763,I-PP
42764,I-PP
42765,B-VP
42766,B-ADJP
42767,B-PP
42768,I-PP
42769,I-PP
42770,I-PP
42771,B-NP
42772,I-NP
42773,B-ADVP
42774,B-VP
42775,B-NP
42776,B-PP
42777,I-PP
42778,I-PP
42779,O
42780,O
42781,B-NP
42782,I-NP
42783,O
42784,B-NP
42785,B-PP
42786,I-PP
42787,I-PP
42788,B-VP
42789,B-NP
42790,I-NP
42791,I-NP
42792,I-NP
42793,B-NP
42794,B-VP
42795,B-NP
42796,B-PP
42797,I-PP
42798,I-PP
42799,O
42800,B-NP
42801,O
42802,B-NP
42803,B-PP
42804,I-PP
42805,I-PP
42806,B-VP
42807,B-NP
42808,I-NP
42809,I-NP
42810,I-NP
42811,B-NP
42812,B-VP
42813,B-NP
42814,B-PP
42815,I-PP
42816,I-PP
42817,O
42818,B-NP
42819,O
42820,B-NP
42821,I-NP
42822,B-VP
42823,B-ADVP
42824,B-VP
42825,B-NP
42826,I-NP
42827,B-PP
42828,I-PP
42829,O
42830,B-VP
42831,B-PP
42832,I-PP
42833,I-PP
42834,I-PP
42835,I-PP
42836,I-PP
42837,I-PP
42838,I-PP
42839,I-PP
42840,I-PP
42841,O
42842,B-NP
42843,I-NP
42844,B-VP
42845,B-ADVP
42846,B-VP
42847,B-NP
42848,I-NP
42849,B-PP
42850,I-PP
42851,O
42852,B-VP
42853,B-PP
42854,I-PP
42855,I-PP
42856,I-PP
42857,I-PP
42858,I-PP
42859,I-PP
42860,I-PP
42861,I-PP
42862,I-PP
42863,O
42864,B-NP
42865,I-NP
42866,B-VP
42867,B-ADVP
42868,B-VP
42869,B-NP
42870,I-NP
42871,B-PP
42872,I-PP
42873,O
42874,B-VP
42875,B-PP
42876,I-PP
42877,I-PP
42878,I-PP
42879,I-PP
42880,I-PP
42881,I-PP
42882,I-PP
42883,I-PP
42884,I-PP
42885,O
42886,B-VP
42887,B-PP
42888,I-PP
42889,I-PP
42890,O
42891,B-NP
42892,I-NP
42893,B-VP
42894,B-PP
42895,I-PP
42896,I-PP
42897,I-PP
42898,I-PP
42899,I-PP
42900,O
42901,B-NP
42902,I-NP
42903,B-VP
42904,B-PP
42905,I-PP
42906,I-PP
42907,I-PP
42908,I-PP
42909,I-PP
42910,O
42911,B-PP
42912,I-PP
42913,I-PP
42914,I-PP
42915,I-PP
42916,I-PP
42917,O
42918,B-NP
42919,B-VP
42920,B-NP
42921,I-NP
42922,B-PP
42923,I-PP
42924,I-PP
42925,I-PP
42926,I-PP
42927,I-PP
42928,I-PP
42929,B-ADJP
42930,I-ADJP
42931,O
42932,B-ADJP
42933,I-ADJP
42934,B-PP
42935,B-VP
42936,B-PP
42937,I-PP
42938,I-PP
42939,O
42940,B-PP
42941,I-PP
42942,I-PP
42943,O
42944,B-PP
42945,I-PP
42946,I-PP
42947,O
42948,B-PP
42949,I-PP
42950,I-PP
42951,O
42952,B-PP
42953,I-PP
42954,I-PP
42955,O
42956,B-PP
42957,I-PP
42958,I-PP
42959,B-VP
42960,B-PP
42961,I-PP
42962,I-PP
42963,I-PP
42964,I-PP
42965,I-PP
42966,I-PP
42967,I-PP
42968,B-PP
42969,I-PP
42970,I-PP
42971,I-PP
42972,O
42973,B-ADVP
42974,O
42975,B-NP
42976,I-NP
42977,O
42978,B-VP
42979,B-NP
42980,B-PP
42981,I-PP
42982,I-PP
42983,I-PP
42984,I-PP
42985,I-PP
42986,O
42987,B-VP
42988,B-NP
42989,B-NP
42990,I-NP
42991,B-PP
42992,I-PP
42993,I-PP
42994,O
42995,B-PP
42996,I-PP
42997,I-PP
42998,O
42999,B-ADVP
43000,O
43001,B-PP
43002,I-PP
43003,I-PP
43004,B-ADVP
43005,B-NP
43006,B-VP
43007,B-NP
43008,I-NP
43009,O
43010,B-NP
43011,B-NP
43012,B-VP
43013,B-NP
43014,B-PP
43015,I-PP
43016,I-PP
43017,I-PP
43018,I-PP
43019,I-PP
43020,I-PP
43021,I-PP
43022,B-VP
43023,B-PP
43024,I-PP
43025,I-PP
43026,I-PP
43027,I-PP
43028,I-PP
43029,B-NP
43030,B-PP
43031,I-PP
43032,B-VP
43033,B-NP
43034,I-NP
43035,O
43036,B-NP
43037,I-NP
43038,O
43039,B-ADVP
43040,O
43041,B-PP
43042,I-PP
43043,I-PP
43044,B-ADVP
43045,B-NP
43046,B-VP
43047,B-NP
43048,I-NP
43049,O
43050,B-NP
43051,B-NP
43052,B-VP
43053,B-NP
43054,B-PP
43055,I-PP
43056,I-PP
43057,I-PP
43058,I-PP
43059,I-PP
43060,I-PP
43061,I-PP
43062,B-VP
43063,B-PP
43064,I-PP
43065,I-PP
43066,I-PP
43067,I-PP
43068,I-PP
43069,B-NP
43070,B-PP
43071,I-PP
43072,B-VP
43073,B-NP
43074,I-NP
43075,O
43076,B-NP
43077,I-NP
43078,O
43079,B-ADVP
43080,O
43081,B-PP
43082,I-PP
43083,I-PP
43084,B-ADVP
43085,B-NP
43086,B-VP
43087,B-NP
43088,I-NP
43089,O
43090,B-NP
43091,B-NP
43092,B-VP
43093,B-NP
43094,B-PP
43095,I-PP
43096,I-PP
43097,I-PP
43098,I-PP
43099,I-PP
43100,I-PP
43101,I-PP
43102,B-VP
43103,B-PP
43104,I-PP
43105,I-PP
43106,I-PP
43107,I-PP
43108,I-PP
43109,B-NP
43110,B-PP
43111,I-PP
43112,B-VP
43113,B-NP
43114,I-NP
43115,O
43116,B-NP
43117,I-NP
43118,O
43119,B-NP
43120,B-VP
43121,O
43122,B-NP
43123,I-NP
43124,I-NP
43125,B-VP
43126,B-NP
43127,O
43128,B-NP
43129,B-VP
43130,B-ADVP
43131,O
43132,B-PP
43133,I-PP
43134,I-PP
43135,I-PP
43136,I-PP
43137,I-PP
43138,O
43139,B-NP
43140,B-VP
43141,O
43142,B-NP
43143,I-NP
43144,I-NP
43145,B-VP
43146,B-NP
43147,O
43148,B-NP
43149,B-VP
43150,B-ADVP
43151,O
43152,B-PP
43153,I-PP
43154,I-PP
43155,I-PP
43156,I-PP
43157,I-PP
43158,O
43159,B-NP
43160,I-NP
43161,B-VP
43162,B-NP
43163,I-NP
43164,B-NP
43165,I-NP
43166,O
43167,B-PP
43168,I-PP
43169,O
43170,B-NP
43171,I-NP
43172,B-VP
43173,B-PP
43174,I-PP
43175,I-PP
43176,I-PP
43177,O
43178,B-VP
43179,B-NP
43180,I-NP
43181,I-NP
43182,B-PP
43183,I-PP
43184,I-PP
43185,I-PP
43186,I-PP
43187,I-PP
43188,I-PP
43189,I-PP
43190,I-PP
43191,I-PP
43192,I-PP
43193,O
43194,B-NP
43195,I-NP
43196,B-VP
43197,B-PP
43198,I-PP
43199,I-PP
43200,I-PP
43201,O
43202,B-VP
43203,B-NP
43204,I-NP
43205,I-NP
43206,B-PP
43207,I-PP
43208,I-PP
43209,I-PP
43210,I-PP
43211,I-PP
43212,I-PP
43213,I-PP
43214,I-PP
43215,I-PP
43216,I-PP
43217,O
43218,B-NP
43219,I-NP
43220,B-VP
43221,I-VP
43222,O
43223,B-NP
43224,I-NP
43225,B-VP
43226,I-VP
43227,B-ADVP
43228,O
43229,B-PP
43230,I-PP
43231,O
43232,B-NP
43233,I-NP
43234,B-PP
43235,I-PP
43236,I-PP
43237,I-PP
43238,I-PP
43239,I-PP
43240,I-PP
43241,I-PP
43242,I-PP
43243,I-PP
43244,B-VP
43245,O
43246,B-NP
43247,I-NP
43248,B-VP
43249,B-VP
43250,B-NP
43251,I-NP
43252,B-PP
43253,I-PP
43254,I-PP
43255,O
43256,B-PP
43257,B-NP
43258,I-NP
43259,B-PP
43260,I-PP
43261,I-PP
43262,O
43263,B-NP
43264,B-PP
43265,I-PP
43266,I-PP
43267,O
43268,B-NP
43269,I-NP
43270,B-PP
43271,I-PP
43272,I-PP
43273,I-PP
43274,I-PP
43275,I-PP
43276,I-PP
43277,I-PP
43278,I-PP
43279,I-PP
43280,B-VP
43281,O
43282,B-NP
43283,I-NP
43284,B-VP
43285,B-VP
43286,B-NP
43287,I-NP
43288,B-PP
43289,I-PP
43290,I-PP
43291,O
43292,B-PP
43293,B-NP
43294,I-NP
43295,B-PP
43296,I-PP
43297,I-PP
43298,O
43299,B-NP
43300,B-PP
43301,I-PP
43302,I-PP
43303,O
43304,B-NP
43305,I-NP
43306,B-PP
43307,I-PP
43308,I-PP
43309,I-PP
43310,I-PP
43311,I-PP
43312,I-PP
43313,I-PP
43314,I-PP
43315,I-PP
43316,I-PP
43317,I-PP
43318,I-PP
43319,I-PP
43320,I-PP
43321,I-PP
43322,I-PP
43323,I-PP
43324,I-PP
43325,I-PP
43326,I-PP
43327,B-VP
43328,I-VP
43329,I-VP
43330,B-ADVP
43331,B-PP
43332,I-PP
43333,B-PP
43334,I-PP
43335,I-PP
43336,I-PP
43337,B-VP
43338,B-PP
43339,B-VP
43340,B-NP
43341,I-NP
43342,I-NP
43343,O
43344,B-NP
43345,I-NP
43346,B-PP
43347,I-PP
43348,I-PP
43349,I-PP
43350,I-PP
43351,I-PP
43352,I-PP
43353,I-PP
43354,I-PP
43355,B-ADVP
43356,B-VP
43357,B-ADVP
43358,B-PP
43359,I-PP
43360,I-PP
43361,B-PP
43362,I-PP
43363,I-PP
43364,I-PP
43365,O
43366,B-NP
43367,I-NP
43368,B-PP
43369,I-PP
43370,I-PP
43371,I-PP
43372,I-PP
43373,I-PP
43374,I-PP
43375,I-PP
43376,I-PP
43377,B-VP
43378,O
43379,B-VP
43380,I-VP
43381,B-PP
43382,I-PP
43383,I-PP
43384,I-PP
43385,I-PP
43386,I-PP
43387,I-PP
43388,I-PP
43389,I-PP
43390,I-PP
43391,B-NP
43392,I-NP
43393,B-VP
43394,B-PP
43395,I-PP
43396,I-PP
43397,I-PP
43398,B-VP
43399,B-PP
43400,I-PP
43401,I-PP
43402,I-PP
43403,O
43404,B-NP
43405,I-NP
43406,B-PP
43407,I-PP
43408,I-PP
43409,I-PP
43410,I-PP
43411,I-PP
43412,I-PP
43413,I-PP
43414,I-PP
43415,B-VP
43416,O
43417,B-VP
43418,I-VP
43419,B-PP
43420,I-PP
43421,I-PP
43422,I-PP
43423,I-PP
43424,I-PP
43425,I-PP
43426,I-PP
43427,I-PP
43428,I-PP
43429,B-NP
43430,I-NP
43431,B-VP
43432,B-PP
43433,I-PP
43434,I-PP
43435,I-PP
43436,B-VP
43437,B-PP
43438,I-PP
43439,I-PP
43440,I-PP
43441,O
43442,B-NP
43443,I-NP
43444,B-VP
43445,I-VP
43446,B-NP
43447,I-NP
43448,B-PP
43449,I-PP
43450,I-PP
43451,I-PP
43452,I-PP
43453,I-PP
43454,I-PP
43455,I-PP
43456,I-PP
43457,I-PP
43458,I-PP
43459,B-NP
43460,B-VP
43461,B-PP
43462,B-NP
43463,I-NP
43464,I-NP
43465,I-NP
43466,I-NP
43467,B-PP
43468,I-PP
43469,I-PP
43470,I-PP
43471,I-PP
43472,B-VP
43473,B-PP
43474,I-PP
43475,I-PP
43476,O
43477,B-NP
43478,I-NP
43479,B-VP
43480,I-VP
43481,B-NP
43482,I-NP
43483,B-PP
43484,I-PP
43485,I-PP
43486,I-PP
43487,I-PP
43488,I-PP
43489,I-PP
43490,I-PP
43491,I-PP
43492,I-PP
43493,I-PP
43494,B-NP
43495,B-VP
43496,B-PP
43497,B-NP
43498,I-NP
43499,I-NP
43500,I-NP
43501,I-NP
43502,B-PP
43503,I-PP
43504,I-PP
43505,I-PP
43506,I-PP
43507,B-VP
43508,B-PP
43509,I-PP
43510,I-PP
43511,O
43512,B-NP
43513,I-NP
43514,B-NP
43515,B-VP
43516,B-PP
43517,I-PP
43518,B-NP
43519,I-NP
43520,B-PP
43521,I-PP
43522,I-PP
43523,I-PP
43524,O
43525,B-NP
43526,I-NP
43527,B-NP
43528,O
43529,B-NP
43530,B-PP
43531,I-PP
43532,I-PP
43533,B-NP
43534,B-VP
43535,B-NP
43536,I-NP
43537,B-PP
43538,I-PP
43539,I-PP
43540,O
43541,B-PP
43542,I-PP
43543,I-PP
43544,I-PP
43545,O
43546,B-NP
43547,I-NP
43548,B-VP
43549,B-NP
43550,B-PP
43551,I-PP
43552,I-PP
43553,I-PP
43554,I-PP
43555,I-PP
43556,I-PP
43557,I-PP
43558,I-PP
43559,I-PP
43560,I-PP
43561,I-PP
43562,I-PP
43563,I-PP
43564,B-PP
43565,B-VP
43566,B-NP
43567,I-NP
43568,B-PP
43569,I-PP
43570,I-PP
43571,I-PP
43572,O
43573,B-PP
43574,I-PP
43575,I-PP
43576,O
43577,B-PP
43578,I-PP
43579,O
43580,B-PP
43581,I-PP
43582,I-PP
43583,I-PP
43584,O
43585,B-NP
43586,I-NP
43587,B-VP
43588,B-NP
43589,B-PP
43590,I-PP
43591,I-PP
43592,I-PP
43593,I-PP
43594,I-PP
43595,I-PP
43596,I-PP
43597,I-PP
43598,I-PP
43599,I-PP
43600,I-PP
43601,I-PP
43602,I-PP
43603,B-PP
43604,B-VP
43605,B-NP
43606,I-NP
43607,B-PP
43608,I-PP
43609,I-PP
43610,I-PP
43611,O
43612,B-PP
43613,I-PP
43614,I-PP
43615,O
43616,B-PP
43617,I-PP
43618,O
43619,B-NP
43620,I-NP
43621,I-NP
43622,B-PP
43623,I-PP
43624,I-PP
43625,B-NP
43626,B-VP
43627,B-NP
43628,I-NP
43629,I-NP
43630,O
43631,B-NP
43632,I-NP
43633,I-NP
43634,I-NP
43635,B-PP
43636,I-PP
43637,B-PP
43638,B-VP
43639,B-NP
43640,I-NP
43641,B-PP
43642,I-PP
43643,I-PP
43644,B-PP
43645,I-PP
43646,I-PP
43647,O
43648,B-ADVP
43649,B-PP
43650,I-PP
43651,I-PP
43652,I-PP
43653,I-PP
43654,I-PP
43655,I-PP
43656,I-PP
43657,I-PP
43658,I-PP
43659,I-PP
43660,O
43661,B-NP
43662,I-NP
43663,I-NP
43664,B-PP
43665,I-PP
43666,I-PP
43667,B-NP
43668,B-VP
43669,B-NP
43670,I-NP
43671,I-NP
43672,O
43673,B-NP
43674,I-NP
43675,I-NP
43676,I-NP
43677,B-PP
43678,I-PP
43679,B-PP
43680,B-VP
43681,B-NP
43682,I-NP
43683,B-PP
43684,I-PP
43685,I-PP
43686,B-PP
43687,I-PP
43688,I-PP
43689,O
43690,B-ADVP
43691,B-PP
43692,I-PP
43693,I-PP
43694,I-PP
43695,I-PP
43696,I-PP
43697,I-PP
43698,I-PP
43699,I-PP
43700,I-PP
43701,I-PP
43702,O
43703,B-VP
43704,I-VP
43705,B-PP
43706,I-PP
43707,I-PP
43708,O
43709,B-PP
43710,I-PP
43711,I-PP
43712,O
43713,B-NP
43714,B-ADVP
43715,B-VP
43716,B-NP
43717,I-NP
43718,I-NP
43719,B-NP
43720,B-NP
43721,B-VP
43722,B-PP
43723,I-PP
43724,I-PP
43725,I-PP
43726,I-PP
43727,I-PP
43728,O
43729,B-PP
43730,I-PP
43731,I-PP
43732,O
43733,B-NP
43734,B-ADVP
43735,B-VP
43736,B-NP
43737,I-NP
43738,I-NP
43739,B-NP
43740,B-NP
43741,B-VP
43742,B-PP
43743,I-PP
43744,I-PP
43745,I-PP
43746,I-PP
43747,I-PP
43748,O
43749,B-VP
43750,B-NP
43751,I-NP
43752,B-PP
43753,I-PP
43754,I-PP
43755,I-PP
43756,I-PP
43757,I-PP
43758,I-PP
43759,I-PP
43760,I-PP
43761,I-PP
43762,I-PP
43763,O
43764,O
43765,O
43766,B-VP
43767,B-NP
43768,I-NP
43769,O
43770,B-NP
43771,I-NP
43772,B-ADVP
43773,B-VP
43774,B-NP
43775,I-NP
43776,I-NP
43777,O
43778,O
43779,B-VP
43780,B-NP
43781,I-NP
43782,I-NP
43783,B-PP
43784,I-PP
43785,I-PP
43786,O
43787,O
43788,O
43789,B-VP
43790,B-NP
43791,I-NP
43792,O
43793,B-NP
43794,I-NP
43795,B-ADVP
43796,B-VP
43797,B-NP
43798,I-NP
43799,I-NP
43800,O
43801,O
43802,B-VP
43803,B-NP
43804,I-NP
43805,I-NP
43806,B-PP
43807,I-PP
43808,I-PP
43809,O
43810,B-VP
43811,O
43812,B-NP
43813,I-NP
43814,I-NP
43815,B-NP
43816,O
43817,B-ADVP
43818,B-PP
43819,I-PP
43820,I-PP
43821,O
43822,B-VP
43823,B-NP
43824,I-NP
43825,O
43826,B-NP
43827,B-VP
43828,B-PP
43829,B-VP
43830,B-NP
43831,I-NP
43832,B-VP
43833,B-PP
43834,I-PP
43835,I-PP
43836,O
43837,B-VP
43838,O
43839,B-NP
43840,I-NP
43841,I-NP
43842,B-NP
