,P
46373,1910
46374,1910
46375,1910
46376,1910
46377,1910
46378,1910
46379,1910
46380,1910
46381,1910
46382,1910
46383,1910
46384,1910
46385,1910
46386,1910
46387,1910
46388,1910
46389,1910
46390,1910
46391,1910
46392,1910
46393,1910
46394,1910
46395,1911
46396,1911
46397,1911
46398,1911
46399,1911
46400,1911
46401,1911
46402,1911
46403,1911
46404,1911
46405,1911
46406,1911
46407,1911
46408,1911
46409,1911
46410,1911
46411,1911
46412,1911
46413,1911
46414,1911
46415,1911
46416,1911
46417,1911
46418,1911
46419,1912
46420,1912
46421,1912
46422,1912
46423,1912
46424,1912
46425,1912
46426,1912
46427,1912
46428,1912
46429,1912
46430,1912
46431,1912
46432,1912
46433,1912
46434,1912
46435,1912
46436,1912
46437,1912
46438,1912
46439,1913
46440,1913
46441,1913
46442,1913
46443,1913
46444,1913
46445,1913
46446,1913
46447,1914
46448,1914
46449,1914
46450,1914
46451,1914
46452,1915
46453,1915
46454,1915
46455,1915
46456,1915
46457,1916
46458,1916
46459,1916
46460,1916
46461,1916
46462,1916
46463,1916
46464,1916
46465,1916
46466,1916
46467,1916
46468,1916
46469,1916
46470,1916
46471,1916
46472,1916
46473,1916
46474,1916
46475,1916
46476,1916
46477,1916
46478,1916
46479,1916
46480,1916
46481,1916
46482,1916
46483,1916
46484,1916
46485,1916
46486,1916
46487,1916
46488,1916
46489,1916
46490,1916
46491,1916
46492,1916
46493,1916
46494,1916
46495,1916
46496,1916
46497,1916
46498,1916
46499,1916
46500,1916
46501,1916
46502,1916
46503,1916
46504,1916
46505,1916
46506,1917
46507,1917
46508,1917
46509,1917
46510,1917
46511,1917
46512,1917
46513,1917
46514,1917
46515,1917
46516,1917
46517,1917
46518,1917
46519,1917
46520,1917
46521,1917
46522,1917
46523,1917
46524,1917
46525,1917
46526,1917
46527,1917
46528,1917
46529,1917
46530,1917
46531,1917
46532,1917
46533,1918
46534,1918
46535,1918
46536,1918
46537,1918
46538,1918
46539,1918
46540,1918
46541,1918
46542,1918
46543,1918
46544,1918
46545,1918
46546,1918
46547,1918
46548,1918
46549,1918
46550,1918
46551,1918
46552,1918
46553,1918
46554,1918
46555,1918
46556,1918
46557,1918
46558,1918
46559,1918
46560,1919
46561,1919
46562,1919
46563,1919
46564,1919
46565,1919
46566,1919
46567,1919
46568,1919
46569,1919
46570,1919
46571,1919
46572,1919
46573,1919
46574,1919
46575,1919
46576,1919
46577,1919
46578,1919
46579,1919
46580,1919
46581,1919
46582,1919
46583,1919
46584,1919
46585,1919
46586,1919
46587,1920
46588,1920
46589,1920
46590,1920
46591,1920
46592,1920
46593,1920
46594,1920
46595,1920
46596,1920
46597,1920
46598,1920
46599,1920
46600,1920
46601,1920
46602,1920
46603,1920
46604,1920
46605,1920
46606,1920
46607,1920
46608,1920
46609,1920
46610,1920
46611,1921
46612,1921
46613,1921
46614,1921
46615,1921
46616,1921
46617,1921
46618,1921
46619,1921
46620,1921
46621,1921
46622,1921
46623,1921
46624,1921
46625,1921
46626,1921
46627,1921
46628,1921
46629,1921
46630,1921
46631,1921
46632,1921
46633,1921
46634,1921
46635,1922
46636,1922
46637,1922
46638,1922
46639,1922
46640,1922
46641,1922
46642,1922
46643,1922
46644,1922
46645,1922
46646,1922
46647,1922
46648,1922
46649,1922
46650,1922
46651,1923
46652,1923
46653,1923
46654,1923
46655,1923
46656,1923
46657,1923
46658,1923
46659,1923
46660,1923
46661,1923
46662,1923
46663,1923
46664,1923
46665,1923
46666,1923
46667,1923
46668,1923
46669,1923
46670,1923
46671,1923
46672,1923
46673,1923
46674,1923
46675,1923
46676,1924
46677,1924
46678,1924
46679,1924
46680,1924
46681,1924
46682,1924
46683,1924
46684,1924
46685,1924
46686,1924
46687,1924
46688,1924
46689,1924
46690,1924
46691,1924
46692,1924
46693,1924
46694,1924
46695,1924
46696,1924
46697,1924
46698,1924
46699,1925
46700,1925
46701,1925
46702,1925
46703,1925
46704,1925
46705,1925
46706,1925
46707,1925
46708,1925
46709,1925
46710,1925
46711,1925
46712,1925
46713,1925
46714,1925
46715,1925
46716,1926
46717,1926
46718,1926
46719,1926
46720,1926
46721,1926
46722,1926
46723,1926
46724,1926
46725,1926
46726,1926
46727,1926
46728,1926
46729,1926
46730,1926
46731,1926
46732,1926
46733,1926
46734,1926
46735,1926
46736,1926
46737,1926
46738,1926
46739,1926
46740,1926
46741,1926
46742,1926
46743,1926
46744,1927
46745,1927
46746,1927
46747,1927
46748,1927
46749,1927
46750,1927
46751,1927
46752,1927
46753,1927
46754,1927
46755,1927
46756,1927
46757,1927
46758,1927
46759,1927
46760,1927
46761,1927
46762,1927
46763,1927
46764,1927
46765,1927
46766,1928
46767,1928
46768,1928
46769,1928
46770,1928
46771,1928
46772,1928
46773,1928
46774,1928
46775,1928
46776,1928
46777,1928
46778,1928
46779,1928
46780,1928
46781,1928
46782,1928
46783,1928
46784,1928
46785,1928
46786,1928
46787,1928
46788,1928
46789,1928
46790,1928
46791,1928
46792,1928
46793,1929
46794,1929
46795,1929
46796,1929
46797,1929
46798,1929
46799,1929
46800,1929
46801,1929
46802,1929
46803,1929
46804,1929
46805,1929
46806,1929
46807,1929
46808,1929
46809,1929
46810,1929
46811,1929
46812,1929
46813,1929
46814,1929
46815,1929
46816,1929
46817,1929
46818,1929
46819,1929
46820,1930
46821,1930
46822,1930
46823,1930
46824,1930
46825,1930
46826,1930
46827,1930
46828,1930
46829,1930
46830,1930
46831,1930
46832,1930
46833,1930
46834,1930
46835,1930
46836,1930
46837,1930
46838,1930
46839,1930
46840,1930
46841,1930
46842,1930
46843,1930
46844,1930
46845,1930
46846,1930
46847,1931
46848,1931
46849,1931
46850,1931
46851,1931
46852,1931
46853,1931
46854,1931
46855,1931
46856,1931
46857,1931
46858,1932
46859,1932
46860,1932
46861,1932
46862,1932
46863,1932
46864,1932
46865,1932
46866,1932
46867,1932
46868,1932
46869,1932
46870,1932
46871,1932
46872,1932
46873,1932
46874,1932
46875,1932
46876,1932
46877,1932
46878,1932
46879,1932
46880,1932
46881,1932
46882,1932
46883,1932
46884,1932
46885,1932
46886,1932
46887,1933
46888,1933
46889,1933
46890,1933
46891,1933
46892,1933
46893,1933
46894,1933
46895,1933
46896,1933
46897,1933
46898,1933
46899,1933
46900,1933
46901,1933
46902,1933
46903,1933
46904,1933
46905,1933
46906,1933
46907,1933
46908,1933
46909,1933
46910,1933
46911,1933
46912,1933
46913,1933
46914,1933
46915,1933
46916,1934
46917,1934
46918,1934
46919,1934
46920,1934
46921,1934
46922,1934
46923,1934
46924,1934
46925,1934
46926,1934
46927,1934
46928,1934
46929,1934
46930,1934
46931,1934
46932,1934
46933,1934
46934,1934
46935,1934
46936,1934
46937,1934
46938,1934
46939,1934
46940,1934
46941,1934
46942,1934
46943,1934
46944,1934
46945,1935
46946,1935
46947,1935
46948,1935
46949,1935
46950,1935
46951,1935
46952,1935
46953,1935
46954,1935
46955,1935
46956,1935
46957,1935
46958,1935
46959,1935
46960,1935
46961,1935
46962,1935
46963,1935
46964,1935
46965,1935
46966,1935
46967,1935
46968,1935
46969,1935
46970,1935
46971,1935
46972,1935
46973,1935
46974,1936
46975,1936
46976,1936
46977,1936
46978,1936
46979,1936
46980,1936
46981,1936
46982,1936
46983,1936
46984,1936
46985,1936
46986,1936
46987,1936
46988,1936
46989,1936
46990,1936
46991,1936
46992,1936
46993,1936
46994,1936
46995,1936
46996,1936
46997,1936
46998,1936
46999,1936
47000,1936
47001,1936
47002,1936
47003,1936
47004,1936
47005,1936
47006,1936
47007,1936
47008,1936
47009,1936
47010,1936
47011,1936
47012,1936
47013,1936
47014,1936
47015,1936
47016,1936
47017,1936
47018,1936
47019,1936
47020,1936
47021,1936
47022,1936
47023,1936
47024,1937
47025,1937
47026,1937
47027,1937
47028,1937
47029,1937
47030,1937
47031,1937
47032,1937
47033,1937
47034,1937
47035,1937
47036,1937
47037,1937
47038,1937
47039,1937
47040,1937
47041,1937
47042,1937
47043,1937
47044,1937
47045,1937
47046,1937
47047,1937
47048,1937
47049,1937
47050,1937
47051,1937
47052,1937
47053,1937
47054,1937
47055,1937
47056,1937
47057,1937
47058,1937
47059,1937
47060,1937
47061,1937
47062,1937
47063,1937
47064,1937
47065,1937
47066,1937
47067,1937
47068,1937
47069,1937
47070,1937
47071,1937
47072,1937
47073,1937
47074,1938
47075,1938
47076,1938
47077,1938
47078,1938
47079,1938
47080,1938
47081,1938
47082,1938
47083,1938
47084,1938
47085,1938
47086,1938
47087,1938
47088,1938
47089,1938
47090,1938
47091,1938
47092,1938
47093,1938
47094,1938
47095,1938
47096,1938
47097,1938
47098,1938
47099,1938
47100,1938
47101,1938
47102,1938
47103,1938
47104,1938
47105,1938
47106,1938
47107,1938
47108,1938
47109,1938
47110,1938
47111,1938
47112,1938
47113,1938
47114,1938
47115,1938
47116,1938
47117,1938
47118,1938
47119,1938
47120,1938
47121,1938
47122,1938
47123,1938
47124,1939
47125,1939
47126,1939
47127,1939
47128,1939
47129,1939
47130,1939
47131,1939
47132,1939
47133,1939
47134,1939
47135,1939
47136,1939
47137,1939
47138,1939
47139,1939
47140,1939
47141,1939
47142,1939
47143,1939
47144,1939
47145,1939
47146,1939
47147,1939
47148,1939
47149,1939
47150,1939
47151,1939
47152,1939
47153,1939
47154,1939
47155,1939
47156,1939
47157,1939
47158,1939
47159,1939
47160,1939
47161,1939
47162,1939
47163,1939
47164,1939
47165,1939
47166,1939
47167,1939
47168,1939
47169,1939
47170,1939
47171,1939
47172,1939
47173,1939
47174,1940
47175,1940
47176,1940
47177,1940
47178,1940
47179,1940
47180,1940
47181,1940
47182,1940
47183,1940
47184,1940
47185,1940
47186,1940
47187,1940
47188,1940
47189,1940
47190,1940
47191,1940
47192,1940
47193,1940
47194,1940
47195,1940
47196,1940
47197,1940
47198,1940
47199,1940
47200,1940
47201,1940
47202,1940
47203,1940
47204,1940
47205,1940
47206,1940
47207,1940
47208,1940
47209,1940
47210,1940
47211,1940
47212,1940
47213,1940
47214,1940
47215,1940
47216,1940
47217,1940
47218,1940
47219,1940
47220,1940
47221,1940
47222,1940
47223,1940
47224,1941
47225,1941
47226,1941
47227,1941
47228,1941
47229,1941
47230,1941
47231,1941
47232,1941
47233,1941
47234,1941
47235,1941
47236,1941
47237,1941
47238,1941
47239,1941
47240,1941
47241,1941
47242,1941
47243,1941
47244,1941
47245,1941
47246,1941
47247,1941
47248,1941
47249,1941
47250,1941
47251,1941
47252,1941
47253,1941
47254,1941
47255,1941
47256,1941
47257,1941
47258,1941
47259,1941
47260,1941
47261,1941
47262,1941
47263,1941
47264,1941
47265,1941
47266,1941
47267,1941
47268,1941
47269,1941
47270,1941
47271,1941
47272,1941
47273,1941
47274,1942
47275,1942
47276,1942
47277,1942
47278,1942
47279,1942
47280,1942
47281,1942
47282,1942
47283,1942
47284,1942
47285,1942
47286,1942
47287,1942
47288,1942
47289,1942
47290,1942
47291,1942
47292,1942
47293,1942
47294,1942
47295,1942
47296,1942
47297,1942
47298,1942
47299,1942
47300,1942
47301,1942
47302,1942
47303,1942
47304,1942
47305,1942
47306,1942
47307,1942
47308,1942
47309,1942
47310,1942
47311,1942
47312,1942
47313,1942
47314,1942
47315,1942
47316,1942
47317,1942
47318,1942
47319,1942
47320,1942
47321,1942
47322,1942
47323,1942
47324,1943
47325,1943
47326,1943
47327,1943
47328,1943
47329,1943
47330,1944
47331,1944
47332,1944
47333,1944
47334,1944
47335,1944
47336,1944
47337,1944
47338,1944
47339,1944
47340,1944
47341,1944
47342,1944
47343,1944
47344,1944
47345,1944
47346,1944
47347,1944
47348,1944
47349,1944
47350,1944
47351,1944
47352,1944
47353,1944
47354,1944
47355,1944
47356,1944
47357,1945
47358,1945
47359,1945
47360,1945
47361,1945
47362,1945
47363,1945
47364,1945
47365,1945
47366,1945
47367,1945
47368,1945
47369,1945
47370,1945
47371,1945
47372,1945
47373,1945
47374,1945
47375,1945
47376,1945
47377,1945
47378,1945
47379,1945
47380,1945
47381,1945
47382,1945
47383,1945
47384,1946
47385,1946
47386,1946
47387,1946
47388,1946
47389,1946
47390,1946
47391,1946
47392,1946
47393,1946
47394,1946
47395,1946
47396,1946
47397,1946
47398,1946
47399,1946
47400,1946
47401,1946
47402,1946
47403,1946
47404,1947
47405,1947
47406,1947
47407,1947
47408,1947
47409,1947
47410,1947
47411,1947
47412,1947
47413,1947
47414,1947
47415,1947
47416,1947
47417,1947
47418,1947
47419,1947
47420,1947
47421,1947
47422,1947
47423,1947
47424,1948
47425,1948
47426,1948
47427,1948
47428,1948
47429,1948
47430,1948
47431,1948
47432,1948
47433,1948
47434,1948
47435,1948
47436,1948
47437,1948
47438,1948
47439,1948
47440,1948
47441,1948
47442,1948
47443,1948
47444,1948
47445,1948
47446,1948
47447,1948
47448,1948
47449,1948
47450,1948
47451,1948
47452,1948
47453,1948
47454,1948
47455,1948
47456,1948
47457,1949
47458,1949
47459,1949
47460,1949
47461,1949
47462,1949
47463,1949
47464,1949
47465,1949
47466,1949
47467,1949
47468,1949
47469,1949
47470,1949
47471,1949
47472,1949
47473,1949
47474,1949
47475,1949
47476,1949
47477,1949
47478,1949
47479,1949
47480,1949
47481,1949
47482,1949
47483,1949
47484,1949
47485,1949
47486,1949
47487,1949
47488,1949
47489,1949
47490,1950
47491,1950
47492,1950
47493,1950
47494,1950
47495,1950
47496,1951
47497,1951
47498,1951
47499,1951
47500,1951
47501,1951
47502,1952
47503,1952
47504,1952
47505,1952
47506,1952
47507,1952
47508,1952
47509,1952
47510,1952
47511,1952
47512,1952
47513,1952
47514,1952
47515,1952
47516,1952
47517,1952
47518,1952
47519,1952
47520,1952
47521,1952
47522,1952
47523,1952
47524,1952
47525,1952
47526,1952
47527,1952
47528,1952
47529,1952
47530,1952
47531,1952
47532,1952
47533,1952
47534,1952
47535,1952
47536,1952
47537,1952
47538,1952
47539,1953
47540,1953
47541,1953
47542,1953
47543,1953
47544,1953
47545,1953
47546,1953
47547,1953
47548,1953
47549,1953
47550,1953
47551,1953
47552,1953
47553,1953
47554,1953
47555,1953
47556,1953
47557,1953
47558,1953
47559,1953
47560,1953
47561,1953
47562,1953
47563,1953
47564,1953
47565,1953
47566,1953
47567,1953
47568,1953
47569,1953
47570,1953
47571,1953
47572,1953
47573,1953
47574,1953
47575,1953
47576,1954
47577,1954
47578,1954
47579,1954
47580,1954
47581,1954
47582,1954
47583,1954
47584,1955
47585,1955
47586,1955
47587,1955
47588,1955
47589,1955
47590,1955
47591,1955
47592,1956
47593,1956
47594,1956
47595,1956
47596,1956
47597,1956
47598,1956
47599,1956
47600,1956
47601,1956
47602,1956
47603,1956
47604,1956
47605,1956
47606,1956
47607,1956
47608,1956
47609,1956
47610,1957
47611,1957
47612,1957
47613,1957
47614,1957
47615,1957
47616,1957
47617,1957
47618,1957
47619,1957
47620,1957
47621,1957
47622,1957
47623,1957
47624,1957
47625,1957
47626,1957
47627,1957
47628,1958
47629,1958
47630,1958
47631,1958
47632,1958
47633,1958
47634,1958
47635,1958
47636,1958
47637,1958
47638,1958
47639,1958
47640,1958
47641,1958
47642,1958
47643,1958
47644,1958
47645,1958
47646,1958
47647,1958
47648,1958
47649,1958
47650,1958
47651,1958
47652,1958
47653,1958
47654,1958
47655,1958
47656,1958
47657,1958
47658,1958
47659,1958
47660,1958
47661,1958
47662,1959
47663,1959
47664,1959
47665,1959
47666,1959
47667,1959
47668,1959
47669,1959
47670,1959
47671,1959
47672,1959
47673,1959
47674,1959
47675,1959
47676,1959
47677,1959
47678,1959
47679,1959
47680,1959
47681,1959
47682,1959
47683,1959
47684,1959
47685,1959
47686,1959
47687,1959
47688,1959
47689,1959
47690,1959
47691,1959
47692,1959
47693,1959
47694,1959
47695,1959
47696,1960
47697,1960
47698,1960
47699,1960
47700,1960
47701,1960
47702,1960
47703,1960
47704,1960
47705,1960
47706,1960
47707,1960
47708,1960
47709,1960
47710,1960
47711,1960
47712,1960
47713,1960
47714,1960
47715,1960
47716,1961
47717,1961
47718,1961
47719,1961
47720,1961
47721,1961
47722,1961
47723,1961
47724,1961
47725,1961
47726,1961
47727,1961
47728,1961
47729,1961
47730,1961
47731,1961
47732,1961
47733,1961
47734,1961
47735,1961
47736,1962
47737,1962
47738,1962
47739,1962
47740,1962
47741,1962
47742,1962
47743,1962
47744,1962
47745,1962
47746,1962
47747,1962
47748,1962
47749,1962
47750,1962
47751,1962
47752,1962
47753,1962
47754,1962
47755,1962
47756,1962
47757,1963
47758,1963
47759,1963
47760,1963
47761,1963
47762,1963
47763,1963
47764,1963
47765,1963
47766,1963
47767,1963
47768,1963
47769,1963
47770,1963
47771,1963
47772,1963
47773,1963
47774,1963
47775,1964
47776,1964
47777,1964
47778,1964
47779,1964
47780,1964
47781,1965
47782,1965
47783,1965
47784,1965
47785,1965
47786,1965
47787,1966
47788,1966
47789,1966
47790,1966
47791,1966
47792,1966
47793,1966
47794,1966
47795,1966
47796,1966
47797,1966
47798,1966
47799,1966
47800,1966
47801,1966
47802,1966
47803,1966
47804,1966
47805,1966
47806,1966
47807,1966
47808,1967
47809,1967
47810,1967
47811,1967
47812,1967
47813,1967
47814,1967
47815,1967
47816,1967
47817,1968
47818,1968
47819,1968
47820,1968
47821,1968
47822,1968
47823,1968
47824,1968
47825,1968
47826,1968
47827,1968
47828,1968
47829,1968
47830,1968
47831,1968
47832,1969
47833,1969
47834,1969
47835,1969
47836,1969
47837,1969
47838,1969
47839,1969
47840,1969
47841,1969
47842,1969
47843,1969
47844,1969
47845,1969
47846,1969
47847,1969
47848,1969
47849,1969
47850,1969
47851,1969
47852,1969
47853,1969
47854,1969
47855,1969
47856,1969
47857,1969
47858,1969
47859,1969
47860,1969
47861,1969
47862,1969
47863,1969
47864,1969
47865,1969
47866,1969
47867,1969
47868,1969
47869,1969
47870,1970
47871,1970
47872,1970
47873,1970
47874,1970
47875,1970
47876,1970
47877,1970
47878,1970
47879,1970
47880,1970
47881,1970
47882,1970
47883,1970
47884,1970
47885,1970
47886,1970
47887,1970
47888,1970
47889,1970
47890,1970
47891,1970
47892,1970
47893,1970
47894,1970
47895,1970
47896,1970
47897,1970
47898,1970
47899,1970
47900,1970
47901,1970
47902,1970
47903,1970
47904,1970
47905,1970
47906,1970
47907,1970
47908,1971
47909,1971
47910,1971
47911,1971
47912,1971
47913,1971
47914,1971
47915,1971
47916,1971
47917,1971
47918,1971
47919,1971
47920,1971
47921,1971
47922,1971
47923,1971
47924,1971
47925,1971
47926,1971
47927,1971
47928,1971
47929,1971
47930,1971
47931,1971
47932,1971
47933,1971
47934,1971
47935,1971
47936,1971
47937,1971
47938,1971
47939,1971
47940,1971
47941,1971
47942,1971
47943,1971
47944,1971
47945,1971
47946,1972
47947,1972
47948,1972
47949,1972
47950,1972
47951,1972
47952,1972
47953,1972
47954,1973
47955,1973
47956,1973
47957,1973
47958,1973
47959,1973
47960,1973
47961,1973
47962,1974
47963,1974
47964,1974
47965,1974
47966,1974
47967,1974
47968,1974
47969,1974
47970,1975
47971,1975
47972,1975
47973,1975
47974,1976
47975,1976
47976,1976
47977,1976
47978,1976
47979,1976
47980,1976
47981,1976
47982,1977
47983,1977
47984,1977
47985,1977
47986,1977
47987,1977
47988,1977
47989,1977
47990,1977
47991,1977
47992,1977
47993,1977
47994,1977
47995,1977
47996,1977
47997,1977
47998,1977
47999,1977
48000,1977
48001,1977
48002,1977
48003,1977
48004,1977
48005,1977
48006,1977
48007,1977
48008,1977
48009,1977
48010,1977
48011,1977
48012,1977
48013,1978
48014,1978
48015,1978
48016,1978
48017,1978
48018,1978
48019,1978
48020,1978
48021,1978
48022,1978
48023,1978
48024,1978
48025,1978
48026,1978
48027,1978
48028,1978
48029,1978
48030,1978
48031,1978
48032,1978
48033,1978
48034,1978
48035,1978
48036,1978
48037,1978
48038,1978
48039,1978
48040,1978
48041,1978
48042,1978
48043,1978
48044,1979
48045,1979
48046,1979
48047,1979
48048,1979
48049,1979
48050,1979
48051,1979
48052,1979
48053,1979
48054,1979
48055,1979
48056,1979
48057,1979
48058,1979
48059,1979
48060,1979
48061,1979
48062,1979
48063,1979
48064,1979
48065,1979
48066,1979
48067,1979
48068,1979
48069,1979
48070,1979
48071,1980
48072,1980
48073,1980
48074,1980
48075,1980
48076,1980
48077,1980
48078,1980
48079,1980
48080,1981
48081,1981
48082,1981
48083,1981
48084,1981
48085,1981
48086,1981
48087,1981
48088,1981
48089,1982
48090,1982
48091,1982
48092,1982
48093,1982
48094,1982
48095,1982
48096,1982
48097,1982
48098,1982
48099,1982
48100,1982
48101,1982
48102,1982
48103,1982
48104,1982
48105,1982
48106,1982
48107,1982
48108,1982
48109,1982
48110,1982
48111,1982
48112,1982
48113,1982
48114,1982
48115,1982
48116,1982
48117,1983
48118,1983
48119,1983
48120,1983
48121,1983
48122,1983
48123,1983
48124,1983
48125,1983
48126,1983
48127,1983
48128,1983
48129,1983
48130,1983
48131,1983
48132,1983
48133,1983
48134,1983
48135,1983
48136,1983
48137,1983
48138,1983
48139,1983
48140,1983
48141,1983
48142,1983
48143,1983
48144,1983
48145,1983
48146,1983
48147,1983
48148,1983
48149,1983
48150,1983
48151,1983
48152,1983
48153,1983
48154,1984
48155,1984
48156,1984
48157,1984
48158,1984
48159,1984
48160,1984
48161,1984
48162,1984
48163,1984
48164,1984
48165,1984
48166,1984
48167,1985
48168,1985
48169,1985
48170,1985
48171,1985
48172,1985
48173,1985
48174,1985
48175,1985
48176,1985
48177,1985
48178,1985
48179,1985
48180,1986
48181,1986
48182,1986
48183,1986
48184,1986
48185,1986
48186,1986
48187,1986
48188,1986
48189,1986
48190,1986
48191,1986
48192,1986
48193,1986
48194,1986
48195,1986
48196,1986
48197,1986
48198,1986
48199,1986
48200,1986
48201,1986
48202,1986
48203,1986
48204,1986
48205,1987
48206,1987
48207,1987
48208,1987
48209,1987
48210,1987
48211,1987
48212,1987
48213,1987
48214,1987
48215,1987
48216,1987
48217,1987
48218,1987
48219,1987
48220,1987
48221,1987
48222,1987
48223,1987
48224,1987
48225,1987
48226,1987
48227,1987
48228,1987
48229,1987
48230,1988
48231,1988
48232,1988
48233,1988
48234,1988
48235,1988
48236,1988
48237,1988
48238,1988
48239,1988
48240,1988
48241,1988
48242,1988
48243,1988
48244,1988
48245,1988
48246,1988
48247,1988
48248,1988
48249,1988
48250,1988
48251,1988
48252,1988
48253,1988
48254,1988
48255,1989
48256,1989
48257,1989
48258,1989
48259,1989
48260,1989
48261,1989
48262,1989
48263,1989
48264,1989
48265,1989
48266,1989
48267,1989
48268,1989
48269,1989
48270,1989
48271,1989
48272,1989
48273,1989
48274,1989
48275,1989
48276,1989
48277,1990
48278,1990
48279,1990
48280,1990
48281,1990
48282,1990
48283,1990
48284,1990
48285,1990
48286,1990
48287,1990
48288,1990
48289,1990
48290,1990
48291,1990
48292,1990
48293,1990
48294,1990
48295,1990
48296,1990
48297,1990
48298,1990
48299,1991
48300,1991
48301,1991
48302,1991
48303,1991
48304,1991
48305,1991
48306,1991
48307,1991
48308,1992
48309,1992
48310,1992
48311,1992
48312,1992
48313,1992
48314,1992
48315,1992
48316,1992
48317,1992
48318,1992
48319,1992
48320,1993
48321,1993
48322,1993
48323,1993
48324,1993
48325,1993
48326,1993
48327,1993
48328,1993
48329,1993
48330,1993
48331,1994
48332,1994
48333,1994
48334,1994
48335,1994
48336,1994
48337,1994
48338,1994
48339,1994
48340,1994
48341,1994
48342,1994
48343,1994
48344,1994
48345,1994
48346,1994
48347,1994
48348,1994
48349,1994
48350,1994
48351,1994
48352,1994
48353,1994
48354,1994
48355,1994
48356,1994
48357,1995
48358,1995
48359,1995
48360,1995
48361,1995
48362,1995
48363,1995
48364,1995
48365,1995
48366,1995
48367,1995
48368,1995
48369,1995
48370,1995
48371,1995
48372,1995
48373,1995
48374,1995
48375,1995
48376,1995
48377,1995
48378,1995
48379,1995
48380,1995
48381,1995
48382,1995
48383,1995
48384,1995
48385,1995
48386,1995
48387,1995
48388,1995
48389,1995
48390,1995
48391,1995
48392,1995
48393,1995
48394,1995
48395,1995
48396,1995
48397,1996
48398,1996
48399,1996
48400,1996
48401,1996
48402,1996
48403,1996
48404,1996
48405,1996
48406,1996
48407,1996
48408,1996
48409,1996
48410,1996
48411,1996
48412,1996
48413,1996
48414,1996
48415,1996
48416,1996
48417,1996
48418,1996
48419,1996
48420,1996
48421,1996
48422,1996
48423,1996
48424,1996
48425,1996
48426,1996
48427,1996
48428,1996
48429,1996
48430,1996
48431,1996
48432,1996
48433,1996
48434,1996
48435,1996
48436,1996
48437,1997
48438,1997
48439,1997
48440,1997
48441,1997
48442,1997
48443,1997
48444,1997
48445,1997
48446,1997
48447,1997
48448,1997
48449,1997
48450,1997
48451,1997
48452,1997
48453,1997
48454,1997
48455,1997
48456,1997
48457,1997
48458,1997
48459,1997
48460,1997
48461,1997
48462,1997
48463,1997
48464,1997
48465,1997
48466,1997
48467,1997
48468,1997
48469,1997
48470,1997
48471,1997
48472,1997
48473,1997
48474,1997
48475,1997
48476,1997
48477,1998
48478,1998
48479,1998
48480,1998
48481,1998
48482,1998
48483,1998
48484,1998
48485,1998
48486,1998
48487,1998
48488,1998
48489,1998
48490,1998
48491,1998
48492,1998
48493,1998
48494,1998
48495,1998
48496,1998
48497,1998
48498,1998
48499,1998
48500,1998
48501,1998
48502,1998
48503,1998
48504,1998
48505,1998
48506,1998
48507,1998
48508,1998
48509,1998
48510,1998
48511,1998
48512,1998
48513,1998
48514,1998
48515,1998
48516,1998
48517,1999
48518,1999
48519,1999
48520,1999
48521,1999
48522,1999
48523,1999
48524,1999
48525,1999
48526,1999
48527,1999
48528,1999
48529,1999
48530,1999
48531,2000
48532,2000
48533,2000
48534,2000
48535,2000
48536,2000
48537,2000
48538,2000
48539,2000
48540,2000
48541,2000
48542,2000
48543,2000
48544,2000
48545,2001
48546,2001
48547,2001
48548,2001
48549,2001
48550,2001
48551,2001
48552,2002
48553,2002
48554,2002
48555,2002
48556,2002
48557,2002
48558,2002
48559,2003
48560,2003
48561,2003
48562,2003
48563,2003
48564,2003
48565,2003
48566,2003
48567,2003
48568,2003
48569,2003
48570,2003
48571,2003
48572,2003
48573,2004
48574,2004
48575,2004
48576,2004
48577,2004
48578,2004
48579,2004
48580,2004
48581,2004
48582,2004
48583,2004
48584,2004
48585,2004
48586,2004
48587,2005
48588,2005
48589,2005
48590,2005
48591,2005
48592,2005
48593,2005
48594,2005
48595,2005
48596,2005
48597,2005
48598,2005
48599,2005
48600,2005
48601,2005
48602,2005
48603,2005
48604,2005
48605,2005
48606,2005
48607,2005
48608,2005
48609,2005
48610,2005
48611,2005
48612,2005
48613,2005
48614,2005
48615,2005
48616,2006
48617,2006
48618,2006
48619,2006
48620,2006
48621,2006
48622,2006
48623,2006
48624,2006
48625,2006
48626,2006
48627,2006
48628,2006
48629,2006
48630,2006
48631,2006
48632,2006
48633,2006
48634,2006
48635,2006
48636,2006
48637,2006
48638,2006
48639,2006
48640,2006
48641,2006
48642,2006
48643,2006
48644,2006
48645,2007
48646,2007
48647,2007
48648,2007
48649,2007
48650,2007
48651,2007
48652,2007
48653,2007
48654,2007
48655,2007
48656,2007
48657,2007
48658,2007
48659,2007
48660,2007
48661,2007
48662,2007
48663,2007
48664,2007
48665,2007
48666,2007
48667,2007
48668,2007
48669,2007
48670,2007
48671,2007
48672,2007
48673,2007
48674,2008
48675,2008
48676,2008
48677,2008
48678,2008
48679,2008
48680,2008
48681,2008
48682,2008
48683,2008
48684,2008
48685,2008
48686,2008
48687,2008
48688,2008
48689,2008
48690,2008
48691,2008
48692,2008
48693,2008
48694,2008
48695,2008
48696,2008
48697,2008
48698,2008
48699,2008
48700,2008
48701,2008
48702,2008
48703,2009
48704,2009
