INDEX,Y_ARG,Y_T
126592,(AM-PRD*),AM-PRD
126593,(C-V*,C-V
126594,*),C-V
126595,(AM-PRD*),AM-PRD
126596,(C-V*),C-V
126597,(AM-PRD*),AM-PRD
126598,(C-V*),C-V
126599,(AM-PRD*),AM-PRD
126600,(C-V*),C-V
126601,(AM-PRD*),AM-PRD
126602,(C-V*),C-V
126603,(AM-PRD*),AM-PRD
126604,(C-V*),C-V
126605,(AM-MED*),AM-MED
126606,(C-V*,C-V
126607,*),C-V
126608,(AM-PRD*),AM-PRD
126609,(C-V*),C-V
126610,(AM-PRD*),AM-PRD
126611,(C-V*),C-V
126612,(AM-PRD*),AM-PRD
126613,(C-V*),C-V
126614,(AM-PRD*),AM-PRD
126615,(C-V*),C-V
126616,(AM-PRD*),AM-PRD
126617,(C-V*),C-V
126618,(AM-PRD*),AM-PRD
126619,(C-V*),C-V
126620,(AM-PRD*),AM-PRD
126621,(A1*),A1
126622,(AM-PRD*),AM-PRD
126623,(A1*),A1
126624,(AM-PRD*),AM-PRD
126625,(A1*),A1
126626,(AM-PRD*),AM-PRD
126627,(A1*),A1
126628,(AM-PRD*),AM-PRD
126629,(A1*),A1
126630,(AM-PRD*),AM-PRD
126631,(C-V*),C-V
126632,(AM-PRD*),AM-PRD
126633,(C-V*),C-V
126634,(AM-PRD*),AM-PRD
126635,(C-V*),C-V
126636,(AM-MED*,AM-MED
126637,*),AM-MED
126638,(A5*),A5
126639,(AM-PRD*),AM-PRD
126640,(C-V*),C-V
126641,(AM-PRD*),AM-PRD
126642,(C-V*),C-V
126643,(AM-PRD*),AM-PRD
126644,(C-V*),C-V
126645,(AM-PRD*),AM-PRD
126646,(C-V*),C-V
126647,(AM-PRD*),AM-PRD
126648,(C-V*),C-V
126649,(AM-PRD*),AM-PRD
126650,(C-V*),C-V
126651,(AM-PRD*),AM-PRD
126652,(C-V*),C-V
126653,(AM-PRD*),AM-PRD
126654,(C-V*),C-V
126655,(AM-PRD*),AM-PRD
126656,(C-V*),C-V
126657,(AM-PRD*),AM-PRD
126658,(C-V*),C-V
126659,(AM-PRD*),AM-PRD
126660,(C-V*),C-V
126661,(AM-PRD*),AM-PRD
126662,(C-AM-LOC*),C-AM-LOC
126663,(C-V*),C-V
126664,(AM-PRD*),AM-PRD
126665,(C-V*),C-V
126666,(AM-PRD*),AM-PRD
126667,(C-V*),C-V
126668,(A5*),A5
126669,(AM-MED*),AM-MED
126670,(AM-PRD*,AM-PRD
126671,*,AM-PRD
126672,*,AM-PRD
126673,*),AM-PRD
126674,(C-V*),C-V
126675,(AM-PRD*),AM-PRD
126676,(C-V*),C-V
126677,(AM-PRD*),AM-PRD
126678,(C-V*),C-V
126679,(AM-PRD*),AM-PRD
126680,(C-V*),C-V
126681,(AM-PRD*),AM-PRD
126682,(C-V*),C-V
126683,(AM-PRD*),AM-PRD
126684,(C-AM-LOC*),C-AM-LOC
126685,(AM-PRD*),AM-PRD
126686,(AM-MED*),AM-MED
126687,(AM-REC*,AM-REC
126688,*),AM-REC
126689,(AM-PRD*,AM-PRD
126690,*),AM-PRD
126691,(AM-REC*),AM-REC
126692,(C-V*),C-V
126693,(AM-PRD*),AM-PRD
126694,(C-V*),C-V
126695,(AM-PRD*),AM-PRD
126696,(C-V*),C-V
126697,(AM-PRD*),AM-PRD
126698,(C-V*),C-V
126699,(AM-PRD*),AM-PRD
126700,(C-V*),C-V
126701,(AM-PRD*),AM-PRD
126702,(C-V*),C-V
126703,(AM-PRD*),AM-PRD
126704,(C-V*),C-V
126705,(AM-PRD*),AM-PRD
126706,(C-V*),C-V
126707,(AM-PRD*),AM-PRD
126708,(C-V*),C-V
126709,(AM-PRD*),AM-PRD
126710,(C-V*),C-V
126711,(AM-PRD*),AM-PRD
126712,(C-V*),C-V
126713,(AM-MED*),AM-MED
126714,(AM-PRD*),AM-PRD
126715,(C-V*),C-V
126716,(AM-PRD*),AM-PRD
126717,(C-V*),C-V
126718,(AM-PRD*),AM-PRD
126719,(C-V*),C-V
126720,(AM-PRD*),AM-PRD
126721,(C-V*),C-V
126722,(AM-PRD*),AM-PRD
126723,(C-V*),C-V
126724,(AM-PRD*),AM-PRD
126725,(C-V*),C-V
126726,(AM-PRD*),AM-PRD
126727,(C-V*),C-V
126728,(AM-PRD*),AM-PRD
126729,(C-V*),C-V
126730,(AM-PRD*),AM-PRD
126731,(C-V*),C-V
126732,(AM-PRD*),AM-PRD
126733,(C-V*),C-V
126734,(AM-PRD*),AM-PRD
126735,(C-V*),C-V
126736,(AM-PRD*),AM-PRD
126737,(C-V*),C-V
126738,(AM-PRD*),AM-PRD
126739,(C-V*),C-V
126740,(AM-MED*),AM-MED
126741,(C-V*),C-V
126742,(AM-PRD*),AM-PRD
126743,(C-V*),C-V
126744,(AM-PRD*),AM-PRD
126745,(C-V*),C-V
126746,(AM-PRD*),AM-PRD
126747,(C-V*),C-V
126748,(AM-PRD*),AM-PRD
126749,(C-V*),C-V
126750,(AM-PRD*),AM-PRD
126751,(C-V*),C-V
126752,(AM-PRD*),AM-PRD
126753,(C-V*),C-V
126754,(AM-PRD*),AM-PRD
126755,(C-V*),C-V
126756,(AM-PRD*),AM-PRD
126757,(C-V*),C-V
126758,(AM-PRD*),AM-PRD
126759,(C-V*),C-V
126760,(AM-PRD*),AM-PRD
126761,(C-V*),C-V
126762,(AM-PRD*),AM-PRD
126763,(C-V*),C-V
126764,(AM-PRD*),AM-PRD
126765,(C-V*),C-V
126766,(AM-PRD*),AM-PRD
126767,(AM-MED*),AM-MED
126768,(AM-PRD*),AM-PRD
126769,(C-V*),C-V
126770,(AM-PRD*),AM-PRD
126771,(C-V*),C-V
126772,(AM-PRD*),AM-PRD
126773,(C-V*),C-V
126774,(AM-PRD*),AM-PRD
126775,(C-V*),C-V
126776,(AM-PRD*),AM-PRD
126777,(C-V*),C-V
126778,(AM-PRD*),AM-PRD
126779,(C-V*),C-V
126780,(AM-PRD*),AM-PRD
126781,(C-V*),C-V
126782,(AM-PRD*),AM-PRD
126783,(C-V*),C-V
126784,(AM-PRD*),AM-PRD
126785,(C-V*),C-V
126786,(AM-PRD*),AM-PRD
126787,(C-V*),C-V
126788,(AM-PRD*),AM-PRD
126789,(C-V*),C-V
126790,(AM-PRD*),AM-PRD
126791,(C-V*),C-V
126792,(AM-PRD*),AM-PRD
126793,(AM-MED*),AM-MED
126794,(AM-PRD*),AM-PRD
126795,(C-V*),C-V
126796,(AM-PRD*),AM-PRD
126797,(C-V*),C-V
126798,(AM-PRD*),AM-PRD
126799,(C-V*),C-V
126800,(AM-PRD*),AM-PRD
126801,(C-V*),C-V
126802,(AM-PRD*),AM-PRD
126803,(C-V*),C-V
126804,(AM-PRD*),AM-PRD
126805,(C-V*),C-V
126806,(AM-PRD*),AM-PRD
126807,(C-V*),C-V
126808,(AM-PRD*),AM-PRD
126809,(C-V*),C-V
126810,(AM-PRD*),AM-PRD
126811,(C-V*),C-V
126812,(AM-PRD*),AM-PRD
126813,(C-V*),C-V
126814,(AM-PRD*),AM-PRD
126815,(C-V*),C-V
126816,(AM-PRD*),AM-PRD
126817,(C-V*),C-V
126818,(AM-PRD*),AM-PRD
126819,(AM-MED*),AM-MED
126820,(AM-PRD*),AM-PRD
126821,(C-V*),C-V
126822,(AM-PRD*),AM-PRD
126823,(C-V*),C-V
126824,(AM-PRD*),AM-PRD
126825,(C-V*),C-V
126826,(AM-PRD*),AM-PRD
126827,(C-V*),C-V
126828,(AM-PRD*),AM-PRD
126829,(C-V*),C-V
126830,(AM-PRD*),AM-PRD
126831,(C-V*),C-V
126832,(AM-PRD*),AM-PRD
126833,(C-V*),C-V
126834,(AM-PRD*),AM-PRD
126835,(C-V*),C-V
126836,(AM-PRD*),AM-PRD
126837,(C-V*),C-V
126838,(AM-PRD*),AM-PRD
126839,(A1*),A1
126840,(C-V*),C-V
126841,(AM-PRD*),AM-PRD
126842,(C-V*),C-V
126843,(AM-PRD*),AM-PRD
126844,(C-V*),C-V
126845,(AM-MED*),AM-MED
126846,(C-V*,C-V
126847,*,C-V
126848,*,C-V
126849,*,C-V
126850,*,C-V
126851,*),C-V
126852,(AM-MED*,AM-MED
126853,*),AM-MED
126854,(AM-ADV*),AM-ADV
126855,(C-V*),C-V
126856,(AM-PRD*),AM-PRD
126857,(C-V*),C-V
126858,(AM-PRD*),AM-PRD
126859,(C-V*),C-V
126860,(AM-PRD*),AM-PRD
126861,(C-V*),C-V
126862,(AM-PRD*),AM-PRD
126863,(C-V*),C-V
126864,(AM-PRD*),AM-PRD
126865,(C-V*),C-V
126866,(AM-PRD*),AM-PRD
126867,(C-V*),C-V
126868,(AM-PRD*),AM-PRD
126869,(C-V*),C-V
126870,(AM-PRD*),AM-PRD
126871,(C-V*),C-V
126872,(AM-PRD*),AM-PRD
126873,(C-V*),C-V
126874,(AM-PRD*),AM-PRD
126875,(C-V*),C-V
126876,(AM-PRD*),AM-PRD
126877,(C-V*),C-V
126878,(AM-PRD*),AM-PRD
126879,(AM-MED*),AM-MED
126880,(AM-PRD*),AM-PRD
126881,(C-V*),C-V
126882,(AM-PRD*),AM-PRD
126883,(C-V*),C-V
126884,(AM-PRD*),AM-PRD
126885,(C-V*),C-V
126886,(AM-PRD*),AM-PRD
126887,(C-V*),C-V
126888,(AM-PRD*),AM-PRD
126889,(C-V*),C-V
126890,(AM-PRD*),AM-PRD
126891,(C-V*),C-V
126892,(AM-PRD*),AM-PRD
126893,(C-V*),C-V
126894,(AM-PRD*),AM-PRD
126895,(C-V*),C-V
126896,(AM-PRD*),AM-PRD
126897,(C-V*),C-V
126898,(AM-PRD*),AM-PRD
126899,(C-V*),C-V
126900,(AM-PRD*),AM-PRD
126901,(C-V*),C-V
126902,(AM-PRD*),AM-PRD
126903,(C-V*),C-V
126904,(AM-PRD*),AM-PRD
126905,(AM-MED*),AM-MED
126906,(AM-PRD*),AM-PRD
126907,(C-V*),C-V
126908,(AM-PRD*),AM-PRD
126909,(C-V*),C-V
126910,(AM-PRD*),AM-PRD
126911,(C-V*),C-V
126912,(AM-PRD*),AM-PRD
126913,(C-V*),C-V
126914,(AM-PRD*),AM-PRD
126915,(C-V*),C-V
126916,(AM-PRD*),AM-PRD
126917,(C-V*),C-V
126918,(AM-PRD*),AM-PRD
126919,(C-V*),C-V
126920,(AM-PRD*),AM-PRD
126921,(C-V*),C-V
126922,(AM-PRD*),AM-PRD
126923,(C-V*),C-V
126924,(AM-PRD*),AM-PRD
126925,(C-V*),C-V
126926,(AM-PRD*),AM-PRD
126927,(C-V*),C-V
126928,(AM-LOC*),AM-LOC
126929,(A5*),A5
126930,(AM-LOC*),AM-LOC
126931,(A5*),A5
126932,(AM-LOC*),AM-LOC
126933,(A5*),A5
126934,(AM-LOC*),AM-LOC
126935,(A5*),A5
126936,(AM-LOC*),AM-LOC
126937,(A5*),A5
126938,(AM-LOC*),AM-LOC
126939,(A5*),A5
126940,(AM-LOC*),AM-LOC
126941,(A5*),A5
126942,(AM-LOC*),AM-LOC
126943,(A5*),A5
126944,(AM-LOC*),AM-LOC
126945,(C-V*),C-V
126946,(AM-PRD*),AM-PRD
126947,(C-V*),C-V
126948,(AM-PRD*),AM-PRD
126949,(C-V*),C-V
126950,(AM-PRD*),AM-PRD
126951,(C-AM-ADV*),C-AM-ADV
126952,(AM-MED*),AM-MED
126953,(AM-PRD*),AM-PRD
126954,(C-V*),C-V
126955,(AM-PRD*),AM-PRD
126956,(C-V*),C-V
126957,(AM-PRD*),AM-PRD
126958,(C-V*),C-V
126959,(AM-PRD*),AM-PRD
126960,(C-V*),C-V
126961,(AM-PRD*),AM-PRD
126962,(C-V*),C-V
126963,(AM-PRD*),AM-PRD
126964,(C-V*),C-V
126965,(AM-PRD*),AM-PRD
126966,(C-V*),C-V
126967,(AM-PRD*),AM-PRD
126968,(C-V*),C-V
126969,(AM-PRD*),AM-PRD
126970,(C-V*),C-V
126971,(AM-PRD*),AM-PRD
126972,(C-V*),C-V
126973,(AM-PRD*),AM-PRD
126974,(C-V*),C-V
126975,(AM-PRD*),AM-PRD
126976,(C-V*),C-V
126977,(AM-PRD*),AM-PRD
126978,(C-V*),C-V
126979,(AM-PRD*),AM-PRD
126980,(C-V*),C-V
126981,(AM-PRD*),AM-PRD
126982,(C-V*),C-V
126983,(AM-PRD*),AM-PRD
126984,(C-V*),C-V
126985,(AM-PRD*),AM-PRD
126986,(C-V*),C-V
126987,(AM-PRD*),AM-PRD
126988,(C-V*),C-V
126989,(AM-PRD*),AM-PRD
126990,(C-V*),C-V
126991,(AM-PRD*),AM-PRD
126992,(C-V*),C-V
126993,(AM-PRD*),AM-PRD
126994,(C-V*),C-V
126995,(AM-PRD*),AM-PRD
126996,(C-V*),C-V
126997,(AM-PRD*),AM-PRD
126998,(AM-MED*,AM-MED
126999,*),AM-MED
127000,(AM-MED*,AM-MED
127001,*,AM-MED
127002,*,AM-MED
127003,*,AM-MED
127004,*,AM-MED
127005,*,AM-MED
127006,*),AM-MED
127007,(AM-PRD*),AM-PRD
127008,(C-V*),C-V
127009,(AM-PRD*),AM-PRD
127010,(C-V*),C-V
127011,(AM-PRD*),AM-PRD
127012,(C-V*),C-V
127013,(AM-PRD*),AM-PRD
127014,(C-V*),C-V
127015,(AM-PRD*),AM-PRD
127016,(C-V*),C-V
127017,(AM-PRD*),AM-PRD
127018,(C-V*),C-V
127019,(AM-PRD*),AM-PRD
127020,(C-V*),C-V
127021,(AM-PRD*),AM-PRD
127022,(C-V*),C-V
127023,(AM-PRD*),AM-PRD
127024,(C-AM-LOC*),C-AM-LOC
127025,(C-V*),C-V
127026,(AM-PRD*),AM-PRD
127027,(C-V*),C-V
127028,(AM-PRD*),AM-PRD
127029,(AM-MED*),AM-MED
127030,(AM-PRD*),AM-PRD
127031,(C-V*),C-V
127032,(AM-PRD*),AM-PRD
127033,(C-V*),C-V
127034,(AM-PRD*),AM-PRD
127035,(C-V*),C-V
127036,(AM-PRD*),AM-PRD
127037,(C-V*),C-V
127038,(AM-PRD*),AM-PRD
127039,(C-V*),C-V
127040,(AM-PRD*),AM-PRD
127041,(C-V*),C-V
127042,(AM-PRD*),AM-PRD
127043,(C-V*),C-V
127044,(AM-PRD*),AM-PRD
127045,(C-V*),C-V
127046,(AM-PRD*),AM-PRD
127047,(C-V*),C-V
127048,(AM-PRD*),AM-PRD
127049,(C-V*),C-V
127050,(AM-PRD*),AM-PRD
127051,(C-V*),C-V
127052,(AM-MED*),AM-MED
127053,(C-V*),C-V
127054,(AM-PRD*),AM-PRD
127055,(C-V*),C-V
127056,(AM-PRD*),AM-PRD
127057,(C-V*),C-V
127058,(AM-PRD*),AM-PRD
127059,(C-V*),C-V
127060,(AM-PRD*),AM-PRD
127061,(C-V*),C-V
127062,(AM-PRD*),AM-PRD
127063,(C-V*),C-V
127064,(AM-PRD*),AM-PRD
127065,(C-V*),C-V
127066,(AM-PRD*),AM-PRD
127067,(C-V*),C-V
127068,(AM-PRD*),AM-PRD
127069,(C-V*),C-V
127070,(AM-PRD*),AM-PRD
127071,(C-V*),C-V
127072,(AM-PRD*),AM-PRD
127073,(C-V*),C-V
127074,(AM-PRD*),AM-PRD
127075,(C-V*,C-V
127076,*),C-V
127077,(AM-MED*),AM-MED
127078,(AM-PRD*,AM-PRD
127079,*,AM-PRD
127080,*,AM-PRD
127081,*),AM-PRD
127082,(C-V*),C-V
127083,(AM-PRD*),AM-PRD
127084,(C-V*),C-V
127085,(AM-PRD*),AM-PRD
127086,(C-V*),C-V
127087,(AM-PRD*),AM-PRD
127088,(C-V*),C-V
127089,(AM-PRD*),AM-PRD
127090,(C-V*),C-V
127091,(AM-PRD*),AM-PRD
127092,(C-V*),C-V
127093,(AM-PRD*),AM-PRD
127094,(C-AM-LOC*),C-AM-LOC
127095,(C-V*),C-V
127096,(AM-PRD*),AM-PRD
127097,(C-V*),C-V
127098,(AM-PRD*),AM-PRD
127099,(AM-MED*),AM-MED
127100,(AM-PRD*),AM-PRD
127101,(AM-ADV*),AM-ADV
127102,(AM-PRD*),AM-PRD
127103,(C-V*),C-V
127104,(AM-PRD*),AM-PRD
127105,(C-V*),C-V
127106,(AM-PRD*),AM-PRD
127107,(C-V*),C-V
127108,(AM-PRD*),AM-PRD
127109,(C-V*),C-V
127110,(AM-PRD*),AM-PRD
127111,(C-V*),C-V
127112,(AM-PRD*),AM-PRD
127113,(C-V*),C-V
127114,(AM-PRD*),AM-PRD
127115,(C-V*),C-V
127116,(AM-PRD*),AM-PRD
127117,(C-V*),C-V
127118,(AM-PRD*),AM-PRD
127119,(C-AM-LOC*),C-AM-LOC
127120,(AM-MED*,AM-MED
127121,*),AM-MED
127122,(C-V*,C-V
127123,*),C-V
127124,(AM-PRD*),AM-PRD
127125,(C-V*),C-V
127126,(AM-PRD*),AM-PRD
127127,(C-V*),C-V
127128,(AM-PRD*),AM-PRD
127129,(C-V*),C-V
127130,(AM-PRD*),AM-PRD
127131,(C-V*),C-V
127132,(AM-PRD*),AM-PRD
127133,(C-V*),C-V
127134,(AM-PRD*,AM-PRD
127135,*),AM-PRD
127136,(AM-MED*),AM-MED
127137,(C-V*),C-V
127138,(AM-PRD*),AM-PRD
127139,(C-V*),C-V
127140,(AM-PRD*),AM-PRD
127141,(C-V*),C-V
127142,(AM-PRD*),AM-PRD
127143,(C-V*),C-V
127144,(AM-PRD*),AM-PRD
127145,(C-V*),C-V
127146,(AM-PRD*),AM-PRD
127147,(C-V*),C-V
127148,(AM-PRD*),AM-PRD
127149,(C-V*),C-V
127150,(AM-PRD*),AM-PRD
127151,(C-V*),C-V
127152,(AM-PRD*),AM-PRD
127153,(C-V*),C-V
127154,(AM-PRD*),AM-PRD
127155,(C-V*,C-V
127156,*),C-V
127157,(AM-MED*,AM-MED
127158,*),AM-MED
127159,(AM-PRD*),AM-PRD
127160,(C-V*),C-V
127161,(AM-PRD*),AM-PRD
127162,(C-V*),C-V
127163,(AM-PRD*),AM-PRD
127164,(C-V*),C-V
127165,(AM-PRD*),AM-PRD
127166,(C-V*),C-V
127167,(AM-PRD*),AM-PRD
127168,(C-V*),C-V
127169,(AM-PRD*),AM-PRD
127170,(C-V*),C-V
127171,(AM-PRD*),AM-PRD
127172,(C-V*),C-V
127173,(AM-PRD*),AM-PRD
127174,(C-V*),C-V
127175,(AM-PRD*),AM-PRD
127176,(C-V*),C-V
127177,(AM-PRD*),AM-PRD
127178,(C-V*),C-V
127179,(AM-PRD*),AM-PRD
127180,(C-V*),C-V
127181,(AM-PRD*),AM-PRD
127182,(C-V*),C-V
127183,(AM-PRD*),AM-PRD
127184,(C-V*),C-V
127185,(AM-PRD*),AM-PRD
127186,(C-V*),C-V
127187,(AM-PRD*),AM-PRD
127188,(C-V*),C-V
127189,(AM-PRD*),AM-PRD
127190,(AM-MED*),AM-MED
127191,(AM-PRD*),AM-PRD
127192,(C-V*),C-V
127193,(AM-PRD*),AM-PRD
127194,(C-V*),C-V
127195,(AM-PRD*),AM-PRD
127196,(C-V*),C-V
127197,(AM-PRD*),AM-PRD
127198,(C-V*),C-V
127199,(AM-PRD*),AM-PRD
127200,(C-V*),C-V
127201,(AM-PRD*),AM-PRD
127202,(C-V*),C-V
127203,(AM-PRD*),AM-PRD
127204,(C-V*),C-V
127205,(AM-PRD*),AM-PRD
127206,(C-V*),C-V
127207,(AM-PRD*),AM-PRD
127208,(C-V*),C-V
127209,(AM-PRD*),AM-PRD
127210,(C-V*),C-V
127211,(AM-PRD*),AM-PRD
127212,(C-V*),C-V
127213,(AM-PRD*),AM-PRD
127214,(C-V*),C-V
127215,(AM-PRD*),AM-PRD
127216,(C-V*),C-V
127217,(AM-PRD*),AM-PRD
127218,(C-V*),C-V
127219,(AM-PRD*),AM-PRD
127220,(C-V*),C-V
127221,(AM-PRD*),AM-PRD
127222,(AM-MED*),AM-MED
127223,(AM-PRD*),AM-PRD
127224,(C-V*),C-V
127225,(AM-PRD*),AM-PRD
127226,(C-V*),C-V
127227,(AM-PRD*),AM-PRD
127228,(C-V*),C-V
127229,(AM-PRD*),AM-PRD
127230,(C-V*),C-V
127231,(AM-PRD*),AM-PRD
127232,(C-V*),C-V
127233,(AM-PRD*),AM-PRD
127234,(C-V*),C-V
127235,(AM-PRD*),AM-PRD
127236,(C-V*),C-V
127237,(AM-PRD*),AM-PRD
127238,(C-V*),C-V
127239,(AM-PRD*),AM-PRD
127240,(AM-MED*),AM-MED
127241,(C-V*,C-V
127242,*),C-V
127243,(AM-PRD*),AM-PRD
127244,(C-V*),C-V
127245,(AM-PRD*),AM-PRD
127246,(C-V*),C-V
127247,(AM-PRD*),AM-PRD
127248,(C-V*),C-V
127249,(AM-PRD*),AM-PRD
127250,(C-V*),C-V
127251,(AM-PRD*),AM-PRD
127252,(C-V*),C-V
127253,(AM-PRD*),AM-PRD
127254,(C-V*),C-V
127255,(AM-PRD*),AM-PRD
127256,(C-V*),C-V
127257,(AM-PRD*),AM-PRD
127258,(AM-MED*),AM-MED
127259,(C-V*),C-V
127260,(AM-LOC*),AM-LOC
127261,(C-V*),C-V
127262,(AM-LOC*),AM-LOC
127263,(C-V*),C-V
127264,(AM-PRD*),AM-PRD
127265,(C-V*),C-V
127266,(AM-LOC*),AM-LOC
127267,(A5*),A5
127268,(AM-LOC*),AM-LOC
127269,(A5*),A5
127270,(AM-LOC*),AM-LOC
127271,(A5*),A5
127272,(AM-LOC*),AM-LOC
127273,(C-V*),C-V
127274,(AM-PRD*),AM-PRD
127275,(C-V*),C-V
127276,(AM-PRD*),AM-PRD
127277,(C-V*),C-V
127278,(AM-PRD*),AM-PRD
127279,(C-V*),C-V
127280,(AM-PRD*),AM-PRD
127281,(AM-MED*),AM-MED
127282,(AM-PRD*),AM-PRD
127283,(C-V*),C-V
127284,(AM-PRD*),AM-PRD
127285,(C-V*),C-V
127286,(AM-PRD*),AM-PRD
127287,(C-V*),C-V
127288,(AM-PRD*),AM-PRD
127289,(C-V*),C-V
127290,(AM-PRD*),AM-PRD
127291,(C-V*),C-V
127292,(AM-PRD*),AM-PRD
127293,(C-V*),C-V
127294,(AM-PRD*),AM-PRD
127295,(C-V*),C-V
127296,(AM-PRD*),AM-PRD
127297,(C-V*),C-V
127298,(AM-PRD*),AM-PRD
127299,(C-V*),C-V
127300,(AM-PRD*),AM-PRD
127301,(C-V*),C-V
127302,(AM-PRD*),AM-PRD
127303,(AM-MED*,AM-MED
127304,*),AM-MED
127305,(AM-PRD*),AM-PRD
127306,(C-V*),C-V
127307,(AM-PRD*),AM-PRD
127308,(C-V*),C-V
127309,(AM-PRD*),AM-PRD
127310,(C-V*),C-V
127311,(AM-PRD*),AM-PRD
127312,(C-V*),C-V
127313,(AM-PRD*),AM-PRD
127314,(C-V*),C-V
127315,(AM-PRD*),AM-PRD
127316,(C-V*),C-V
127317,(AM-PRD*),AM-PRD
127318,(C-V*),C-V
127319,(AM-PRD*),AM-PRD
127320,(C-V*),C-V
127321,(AM-PRD*),AM-PRD
127322,(AM-MED*),AM-MED
127323,(A5*,A5
127324,*,A5
127325,*,A5
127326,*,A5
127327,*,A5
127328,*,A5
127329,*),A5
127330,(C-AM-ADV*),C-AM-ADV
127331,(AM-MED*),AM-MED
127332,(AM-PRD*),AM-PRD
127333,(C-V*),C-V
127334,(AM-PRD*),AM-PRD
127335,(C-V*),C-V
127336,(AM-PRD*),AM-PRD
127337,(C-V*),C-V
127338,(AM-PRD*),AM-PRD
127339,(C-V*),C-V
127340,(AM-PRD*),AM-PRD
127341,(C-V*),C-V
127342,(AM-PRD*),AM-PRD
127343,(C-V*),C-V
127344,(AM-PRD*),AM-PRD
127345,(C-V*),C-V
127346,(AM-PRD*),AM-PRD
127347,(C-V*),C-V
127348,(AM-PRD*),AM-PRD
127349,(C-V*),C-V
127350,(AM-PRD*),AM-PRD
127351,(C-V*),C-V
127352,(AM-PRD*),AM-PRD
127353,(C-V*),C-V
127354,(AM-PRD*),AM-PRD
127355,(C-V*),C-V
127356,(AM-MED*,AM-MED
127357,*),AM-MED
127358,(C-V*),C-V
127359,(AM-PRD*),AM-PRD
127360,(C-V*),C-V
127361,(AM-PRD*),AM-PRD
127362,(C-V*),C-V
127363,(AM-PRD*),AM-PRD
127364,(C-V*),C-V
127365,(AM-PRD*),AM-PRD
127366,(C-V*),C-V
127367,(AM-PRD*),AM-PRD
127368,(C-V*),C-V
127369,(AM-PRD*),AM-PRD
127370,(C-V*),C-V
127371,(AM-PRD*),AM-PRD
127372,(C-V*),C-V
127373,(AM-PRD*),AM-PRD
127374,(C-V*),C-V
127375,(AM-PRD*),AM-PRD
127376,(C-V*),C-V
127377,(AM-PRD*),AM-PRD
127378,(C-V*),C-V
127379,(AM-PRD*),AM-PRD
127380,(C-V*),C-V
127381,(AM-PRD*),AM-PRD
127382,(C-V*),C-V
127383,(AM-PRD*),AM-PRD
127384,(C-V*),C-V
127385,(AM-MED*,AM-MED
127386,*),AM-MED
127387,(AM-PRD*),AM-PRD
127388,(C-V*),C-V
127389,(AM-PRD*),AM-PRD
127390,(C-V*),C-V
127391,(AM-PRD*),AM-PRD
127392,(C-V*),C-V
127393,(AM-PRD*),AM-PRD
127394,(C-V*),C-V
127395,(AM-PRD*),AM-PRD
127396,(C-V*),C-V
127397,(AM-PRD*),AM-PRD
127398,(C-V*),C-V
127399,(AM-PRD*),AM-PRD
127400,(C-V*),C-V
127401,(AM-PRD*),AM-PRD
127402,(C-V*),C-V
127403,(AM-PRD*),AM-PRD
127404,(C-V*),C-V
127405,(AM-PRD*),AM-PRD
127406,(C-V*),C-V
127407,(AM-PRD*),AM-PRD
127408,(C-V*),C-V
127409,(AM-PRD*),AM-PRD
127410,(C-AM-LOC*),C-AM-LOC
127411,(C-V*),C-V
127412,(AM-PRD*),AM-PRD
127413,(C-V*),C-V
127414,(AM-PRD*),AM-PRD
127415,(AM-MED*),AM-MED
127416,(AM-PRD*),AM-PRD
127417,(AM-ADV*),AM-ADV
127418,(A2*),A2
127419,(C-V*),C-V
127420,(AM-PRD*),AM-PRD
127421,(C-V*),C-V
127422,(AM-PRD*),AM-PRD
127423,(C-V*),C-V
127424,(AM-PRD*),AM-PRD
127425,(C-V*),C-V
127426,(AM-PRD*),AM-PRD
127427,(C-V*),C-V
127428,(AM-PRD*),AM-PRD
127429,(C-V*),C-V
127430,(AM-PRD*),AM-PRD
127431,(C-V*),C-V
127432,(AM-PRD*),AM-PRD
127433,(C-V*),C-V
127434,(AM-PRD*),AM-PRD
127435,(C-V*),C-V
127436,(AM-PRD*),AM-PRD
127437,(C-V*),C-V
127438,(AM-PRD*),AM-PRD
127439,(C-V*),C-V
127440,(AM-PRD*),AM-PRD
127441,(C-V*),C-V
127442,(AM-PRD*),AM-PRD
127443,(C-V*),C-V
127444,(AM-PRD*),AM-PRD
127445,(C-V*),C-V
127446,(AM-PRD*),AM-PRD
127447,(AM-MED*),AM-MED
127448,(AM-PRD*),AM-PRD
127449,(C-V*),C-V
127450,(AM-PRD*),AM-PRD
127451,(C-V*),C-V
127452,(AM-PRD*),AM-PRD
127453,(C-V*),C-V
127454,(AM-PRD*),AM-PRD
127455,(C-V*),C-V
127456,(AM-PRD*),AM-PRD
127457,(C-V*),C-V
127458,(AM-PRD*),AM-PRD
127459,(C-V*),C-V
127460,(AM-PRD*),AM-PRD
127461,(C-V*),C-V
127462,(AM-PRD*),AM-PRD
127463,(C-V*),C-V
127464,(AM-PRD*),AM-PRD
127465,(C-V*),C-V
127466,(AM-PRD*),AM-PRD
127467,(C-V*),C-V
127468,(AM-PRD*),AM-PRD
127469,(C-V*),C-V
127470,(AM-PRD*),AM-PRD
127471,(C-V*),C-V
127472,(AM-PRD*),AM-PRD
127473,(C-V*),C-V
127474,(AM-PRD*),AM-PRD
