,FUNC+1,FUNC+2,FUNC+3,FUNC-1,FUNC-2,FUNC-3
24059,ADVL,STA,>A,PU,N<PRED,PU
24060,STA,>A,MV,ADVL,PU,N<PRED
24061,>A,MV,ADVL,ADVL,ADVL,PU
24062,MV,ADVL,>N,STA,ADVL,ADVL
24063,ADVL,>N,P<,>A,STA,ADVL
24064,>N,P<,N<,MV,>A,STA
24065,P<,N<,>N,ADVL,MV,>A
24066,N<,>N,P<,>N,ADVL,MV
24067,>N,P<,SUB,P<,>N,ADVL
24068,P<,SUB,PU,N<,P<,>N
24069,SUB,PU,ADVL,>N,N<,P<
24070,PU,ADVL,>N,P<,>N,N<
24071,ADVL,>N,P<,SUB,P<,>N
24072,>N,P<,PU,PU,SUB,P<
24073,P<,PU,SUBJ,ADVL,PU,SUB
24074,PU,SUBJ,ADVL,>N,ADVL,PU
24075,SUBJ,ADVL,ADVL,P<,>N,ADVL
24076,ADVL,ADVL,ADVL,PU,P<,>N
24077,ADVL,ADVL,>N,SUBJ,PU,P<
24078,ADVL,>N,P<,ADVL,SUBJ,PU
24079,>N,P<,PU,ADVL,ADVL,SUBJ
24080,P<,PU,,ADVL,ADVL,ADVL
24081,PU,,,>N,ADVL,ADVL
24082,,,,P<,>N,ADVL
24083,>N,P<,PU,,,
24084,P<,PU,>N,ADVL,,
24085,PU,>N,>N,>N,ADVL,
24086,>N,>N,CO,P<,>N,ADVL
24087,>N,CO,CJT,PU,P<,>N
24088,CO,CJT,SUBJ,>N,PU,P<
24089,CJT,SUBJ,ACC-PASS,>N,>N,PU
24090,SUBJ,ACC-PASS,STA,CO,>N,>N
24091,ACC-PASS,STA,PU,CJT,CO,>N
24092,STA,PU,ADVL,SUBJ,CJT,CO
24093,PU,ADVL,ACC,ACC-PASS,SUBJ,CJT
24094,ADVL,ACC,CO,STA,ACC-PASS,SUBJ
24095,ACC,CO,CJT,PU,STA,ACC-PASS
24096,CO,CJT,>N,ADVL,PU,STA
24097,CJT,>N,SUBJ,ACC,ADVL,PU
24098,>N,SUBJ,N<,CO,ACC,ADVL
24099,SUBJ,N<,N<,CJT,CO,ACC
24100,N<,N<,ADVL,>N,CJT,CO
24101,N<,ADVL,ADVL,SUBJ,>N,CJT
24102,ADVL,ADVL,KOMP<,N<,SUBJ,>N
24103,ADVL,KOMP<,>N,N<,N<,SUBJ
24104,KOMP<,>N,SUBJ,ADVL,N<,N<
24105,>N,SUBJ,N<,ADVL,ADVL,N<
24106,SUBJ,N<,>N,KOMP<,ADVL,ADVL
24107,N<,>N,P<,>N,KOMP<,ADVL
24108,>N,P<,N<,SUBJ,>N,KOMP<
24109,P<,N<,PU,N<,SUBJ,>N
24110,N<,PU,,>N,N<,SUBJ
24111,PU,,,P<,>N,N<
24112,,,,N<,P<,>N
24113,>N,P<,PU,,,
24114,P<,PU,>N,ADVL,,
24115,PU,>N,>N,>N,ADVL,
24116,>N,>N,CO,P<,>N,ADVL
24117,>N,CO,CJT,PU,P<,>N
24118,CO,CJT,SUBJ,>N,PU,P<
24119,CJT,SUBJ,ACC-PASS,>N,>N,PU
24120,SUBJ,ACC-PASS,STA,CO,>N,>N
24121,ACC-PASS,STA,PU,CJT,CO,>N
24122,STA,PU,ADVL,SUBJ,CJT,CO
24123,PU,ADVL,ACC,ACC-PASS,SUBJ,CJT
24124,ADVL,ACC,CO,STA,ACC-PASS,SUBJ
24125,ACC,CO,CJT,PU,STA,ACC-PASS
24126,CO,CJT,>N,ADVL,PU,STA
24127,CJT,>N,SUBJ,ACC,ADVL,PU
24128,>N,SUBJ,N<,CO,ACC,ADVL
24129,SUBJ,N<,N<,CJT,CO,ACC
24130,N<,N<,ADVL,>N,CJT,CO
24131,N<,ADVL,ADVL,SUBJ,>N,CJT
24132,ADVL,ADVL,KOMP<,N<,SUBJ,>N
24133,ADVL,KOMP<,>N,N<,N<,SUBJ
24134,KOMP<,>N,SUBJ,ADVL,N<,N<
24135,>N,SUBJ,N<,ADVL,ADVL,N<
24136,SUBJ,N<,>N,KOMP<,ADVL,ADVL
24137,N<,>N,P<,>N,KOMP<,ADVL
24138,>N,P<,N<,SUBJ,>N,KOMP<
24139,P<,N<,PU,N<,SUBJ,>N
24140,N<,PU,,>N,N<,SUBJ
24141,PU,,,P<,>N,N<
24142,,,,N<,P<,>N
24143,>N,P<,PU,,,
24144,P<,PU,>N,ADVL,,
24145,PU,>N,>N,>N,ADVL,
24146,>N,>N,CO,P<,>N,ADVL
24147,>N,CO,CJT,PU,P<,>N
24148,CO,CJT,SUBJ,>N,PU,P<
24149,CJT,SUBJ,ACC-PASS,>N,>N,PU
24150,SUBJ,ACC-PASS,STA,CO,>N,>N
24151,ACC-PASS,STA,PU,CJT,CO,>N
24152,STA,PU,ADVL,SUBJ,CJT,CO
24153,PU,ADVL,ACC,ACC-PASS,SUBJ,CJT
24154,ADVL,ACC,CO,STA,ACC-PASS,SUBJ
24155,ACC,CO,CJT,PU,STA,ACC-PASS
24156,CO,CJT,>N,ADVL,PU,STA
24157,CJT,>N,SUBJ,ACC,ADVL,PU
24158,>N,SUBJ,N<,CO,ACC,ADVL
24159,SUBJ,N<,N<,CJT,CO,ACC
24160,N<,N<,ADVL,>N,CJT,CO
24161,N<,ADVL,ADVL,SUBJ,>N,CJT
24162,ADVL,ADVL,KOMP<,N<,SUBJ,>N
24163,ADVL,KOMP<,>N,N<,N<,SUBJ
24164,KOMP<,>N,SUBJ,ADVL,N<,N<
24165,>N,SUBJ,N<,ADVL,ADVL,N<
24166,SUBJ,N<,>N,KOMP<,ADVL,ADVL
24167,N<,>N,P<,>N,KOMP<,ADVL
24168,>N,P<,N<,SUBJ,>N,KOMP<
24169,P<,N<,PU,N<,SUBJ,>N
24170,N<,PU,,>N,N<,SUBJ
24171,PU,,,P<,>N,N<
24172,,,,N<,P<,>N
24173,>N,SUBJ,ADVL,,,
24174,SUBJ,ADVL,PRED,ADVL,,
24175,ADVL,PRED,PU,>N,ADVL,
24176,PRED,PU,PU,SUBJ,>N,ADVL
24177,PU,PU,N<PRED,ADVL,SUBJ,>N
24178,PU,N<PRED,PU,PRED,ADVL,SUBJ
24179,N<PRED,PU,PU,PU,PRED,ADVL
24180,PU,PU,PU,PU,PU,PRED
24181,PU,PU,CJT,N<PRED,PU,PU
24182,PU,CJT,PU,PU,N<PRED,PU
24183,CJT,PU,PU,PU,PU,N<PRED
24184,PU,PU,PU,PU,PU,PU
24185,PU,PU,CJT,CJT,PU,PU
24186,PU,CJT,PU,PU,CJT,PU
24187,CJT,PU,PU,PU,PU,CJT
24188,PU,PU,PU,PU,PU,PU
24189,PU,PU,STA,CJT,PU,PU
24190,PU,STA,>N,PU,CJT,PU
24191,STA,>N,SC,PU,PU,CJT
24192,>N,SC,N<,PU,PU,PU
24193,SC,N<,>N,STA,PU,PU
24194,N<,>N,>N,>N,STA,PU
24195,>N,>N,P<,SC,>N,STA
24196,>N,P<,PU,N<,SC,>N
24197,P<,PU,,>N,N<,SC
24198,PU,,,>N,>N,N<
24199,,,,P<,>N,>N
24200,UTT,N<,P<,,,
24201,N<,P<,N<,CO,,
24202,P<,N<,>N,UTT,CO,
24203,N<,>N,P<,N<,UTT,CO
24204,>N,P<,PU,P<,N<,UTT
24205,P<,PU,SUBJ,N<,P<,N<
24206,PU,SUBJ,ADVL,>N,N<,P<
24207,SUBJ,ADVL,N<PRED,P<,>N,N<
24208,ADVL,N<PRED,>N,PU,P<,>N
24209,N<PRED,>N,ACC,SUBJ,PU,P<
24210,>N,ACC,N<,ADVL,SUBJ,PU
24211,ACC,N<,P<,N<PRED,ADVL,SUBJ
24212,N<,P<,ADVL,>N,N<PRED,ADVL
24213,P<,ADVL,>N,ACC,>N,N<PRED
24214,ADVL,>N,PU,N<,ACC,>N
24215,>N,PU,P<,P<,N<,ACC
24216,PU,P<,PU,ADVL,P<,N<
24217,P<,PU,ADVL,>N,ADVL,P<
24218,PU,ADVL,>N,PU,>N,ADVL
24219,ADVL,>N,P<,P<,PU,>N
24220,>N,P<,PU,PU,P<,PU
24221,P<,PU,,ADVL,PU,P<
24222,PU,,,>N,ADVL,PU
24223,,,,P<,>N,ADVL
24224,UTT,N<,P<,,,
24225,N<,P<,N<,CO,,
24226,P<,N<,>N,UTT,CO,
24227,N<,>N,P<,N<,UTT,CO
24228,>N,P<,PU,P<,N<,UTT
24229,P<,PU,SUBJ,N<,P<,N<
24230,PU,SUBJ,ADVL,>N,N<,P<
24231,SUBJ,ADVL,N<PRED,P<,>N,N<
24232,ADVL,N<PRED,>N,PU,P<,>N
24233,N<PRED,>N,ACC,SUBJ,PU,P<
24234,>N,ACC,N<,ADVL,SUBJ,PU
24235,ACC,N<,P<,N<PRED,ADVL,SUBJ
24236,N<,P<,ADVL,>N,N<PRED,ADVL
24237,P<,ADVL,>N,ACC,>N,N<PRED
24238,ADVL,>N,PU,N<,ACC,>N
24239,>N,PU,P<,P<,N<,ACC
24240,PU,P<,PU,ADVL,P<,N<
24241,P<,PU,ADVL,>N,ADVL,P<
24242,PU,ADVL,>N,PU,>N,ADVL
24243,ADVL,>N,P<,P<,PU,>N
24244,>N,P<,PU,PU,P<,PU
24245,P<,PU,,ADVL,PU,P<
24246,PU,,,>N,ADVL,PU
24247,,,,P<,>N,ADVL
24248,STA,PU,ACC,,,
24249,PU,ACC,PU,SUBJ,,
24250,ACC,PU,,STA,SUBJ,
24251,PU,,,PU,STA,SUBJ
24252,,,,ACC,PU,STA
24253,SUBJ,ACC,SUBJ,,,
24254,ACC,SUBJ,N<,>N,,
24255,SUBJ,N<,ADVL,SUBJ,>N,
24256,N<,ADVL,P<,ACC,SUBJ,>N
24257,ADVL,P<,N<,SUBJ,ACC,SUBJ
24258,P<,N<,P<,N<,SUBJ,ACC
24259,N<,P<,CO,ADVL,N<,SUBJ
24260,P<,CO,CJT,P<,ADVL,N<
24261,CO,CJT,N<,N<,P<,ADVL
24262,CJT,N<,P<,P<,N<,P<
24263,N<,P<,STA,CO,P<,N<
24264,P<,STA,>N,CJT,CO,P<
24265,STA,>N,ACC,N<,CJT,CO
24266,>N,ACC,ADVL,P<,N<,CJT
24267,ACC,ADVL,>N,STA,P<,N<
24268,ADVL,>N,P<,>N,STA,P<
24269,>N,P<,ADVL,ACC,>N,STA
24270,P<,ADVL,P<,ADVL,ACC,>N
24271,ADVL,P<,,>N,ADVL,ACC
24272,P<,,,P<,>N,ADVL
24273,,,,ADVL,P<,>N
24274,SUBJ,ACC,SUBJ,,,
24275,ACC,SUBJ,N<,>N,,
24276,SUBJ,N<,ADVL,SUBJ,>N,
24277,N<,ADVL,P<,ACC,SUBJ,>N
24278,ADVL,P<,N<,SUBJ,ACC,SUBJ
24279,P<,N<,P<,N<,SUBJ,ACC
24280,N<,P<,CO,ADVL,N<,SUBJ
24281,P<,CO,CJT,P<,ADVL,N<
24282,CO,CJT,N<,N<,P<,ADVL
24283,CJT,N<,P<,P<,N<,P<
24284,N<,P<,STA,CO,P<,N<
24285,P<,STA,>N,CJT,CO,P<
24286,STA,>N,ACC,N<,CJT,CO
24287,>N,ACC,ADVL,P<,N<,CJT
24288,ACC,ADVL,>N,STA,P<,N<
24289,ADVL,>N,P<,>N,STA,P<
24290,>N,P<,ADVL,ACC,>N,STA
24291,P<,ADVL,P<,ADVL,ACC,>N
24292,ADVL,P<,,>N,ADVL,ACC
24293,P<,,,P<,>N,ADVL
24294,,,,ADVL,P<,>N
24295,SUBJ,N<,PU,,,
24296,N<,PU,N<PRED,>N,,
24297,PU,N<PRED,PU,SUBJ,>N,
24298,N<PRED,PU,STA,N<,SUBJ,>N
24299,PU,STA,ACC,PU,N<,SUBJ
24300,STA,ACC,MV,N<PRED,PU,N<
24301,ACC,MV,PIV,PU,N<PRED,PU
24302,MV,PIV,P<,STA,PU,N<PRED
24303,PIV,P<,>N,ACC,STA,PU
24304,P<,>N,ACC,MV,ACC,STA
24305,>N,ACC,N<,PIV,MV,ACC
24306,ACC,N<,>N,P<,PIV,MV
24307,N<,>N,P<,>N,P<,PIV
24308,>N,P<,N<,ACC,>N,P<
24309,P<,N<,PU,N<,ACC,>N
24310,N<,PU,,>N,N<,ACC
24311,PU,,,P<,>N,N<
24312,,,,N<,P<,>N
24313,SUBJ,N<,PU,,,
24314,N<,PU,N<PRED,>N,,
24315,PU,N<PRED,PU,SUBJ,>N,
24316,N<PRED,PU,STA,N<,SUBJ,>N
24317,PU,STA,ACC,PU,N<,SUBJ
24318,STA,ACC,MV,N<PRED,PU,N<
24319,ACC,MV,PIV,PU,N<PRED,PU
24320,MV,PIV,P<,STA,PU,N<PRED
24321,PIV,P<,>N,ACC,STA,PU
24322,P<,>N,ACC,MV,ACC,STA
24323,>N,ACC,N<,PIV,MV,ACC
24324,ACC,N<,>N,P<,PIV,MV
24325,N<,>N,P<,>N,P<,PIV
24326,>N,P<,N<,ACC,>N,P<
24327,P<,N<,PU,N<,ACC,>N
24328,N<,PU,,>N,N<,ACC
24329,PU,,,P<,>N,N<
24330,,,,N<,P<,>N
24331,SUBJ,N<,PU,,,
24332,N<,PU,STA,ADVL,,
24333,PU,STA,PRT-AUX,SUBJ,ADVL,
24334,STA,PRT-AUX,MV,N<,SUBJ,ADVL
24335,PRT-AUX,MV,PU,PU,N<,SUBJ
24336,MV,PU,ACC,STA,PU,N<
24337,PU,ACC,PU,PRT-AUX,STA,PU
24338,ACC,PU,PU,MV,PRT-AUX,STA
24339,PU,PU,N<PRED,PU,MV,PRT-AUX
24340,PU,N<PRED,N<,ACC,PU,MV
24341,N<PRED,N<,P<,PU,ACC,PU
24342,N<,P<,ACC,PU,PU,ACC
24343,P<,ACC,>N,N<PRED,PU,PU
24344,ACC,>N,SUBJ,N<,N<PRED,PU
24345,>N,SUBJ,N<,P<,N<,N<PRED
24346,SUBJ,N<,ADVL,ACC,P<,N<
24347,N<,ADVL,>N,>N,ACC,P<
24348,ADVL,>N,P<,SUBJ,>N,ACC
24349,>N,P<,ADVL,N<,SUBJ,>N
24350,P<,ADVL,P<,ADVL,N<,SUBJ
24351,ADVL,P<,N<,>N,ADVL,N<
24352,P<,N<,P<,P<,>N,ADVL
24353,N<,P<,CO,ADVL,P<,>N
24354,P<,CO,CJT,P<,ADVL,P<
24355,CO,CJT,N<,N<,P<,ADVL
24356,CJT,N<,P<,P<,N<,P<
24357,N<,P<,PU,CO,P<,N<
24358,P<,PU,,CJT,CO,P<
24359,PU,,,N<,CJT,CO
24360,,,,P<,N<,CJT
24361,SUBJ,N<,PU,,,
24362,N<,PU,STA,ADVL,,
24363,PU,STA,PRT-AUX,SUBJ,ADVL,
24364,STA,PRT-AUX,MV,N<,SUBJ,ADVL
24365,PRT-AUX,MV,PU,PU,N<,SUBJ
24366,MV,PU,ACC,STA,PU,N<
24367,PU,ACC,PU,PRT-AUX,STA,PU
24368,ACC,PU,PU,MV,PRT-AUX,STA
24369,PU,PU,N<PRED,PU,MV,PRT-AUX
24370,PU,N<PRED,N<,ACC,PU,MV
24371,N<PRED,N<,P<,PU,ACC,PU
24372,N<,P<,ACC,PU,PU,ACC
24373,P<,ACC,>N,N<PRED,PU,PU
24374,ACC,>N,SUBJ,N<,N<PRED,PU
24375,>N,SUBJ,N<,P<,N<,N<PRED
24376,SUBJ,N<,ADVL,ACC,P<,N<
24377,N<,ADVL,>N,>N,ACC,P<
24378,ADVL,>N,P<,SUBJ,>N,ACC
24379,>N,P<,ADVL,N<,SUBJ,>N
24380,P<,ADVL,P<,ADVL,N<,SUBJ
24381,ADVL,P<,N<,>N,ADVL,N<
24382,P<,N<,P<,P<,>N,ADVL
24383,N<,P<,CO,ADVL,P<,>N
24384,P<,CO,CJT,P<,ADVL,P<
24385,CO,CJT,N<,N<,P<,ADVL
24386,CJT,N<,P<,P<,N<,P<
24387,N<,P<,PU,CO,P<,N<
24388,P<,PU,,CJT,CO,P<
24389,PU,,,N<,CJT,CO
24390,,,,P<,N<,CJT
24391,SUBJ,STA,ACC,,,
24392,STA,ACC,>N,>N,,
24393,ACC,>N,PU,SUBJ,>N,
24394,>N,PU,ACC,STA,SUBJ,>N
24395,PU,ACC,PU,ACC,STA,SUBJ
24396,ACC,PU,ADVL,>N,ACC,STA
24397,PU,ADVL,P<,PU,>N,ACC
24398,ADVL,P<,N<,ACC,PU,>N
24399,P<,N<,P<,PU,ACC,PU
24400,N<,P<,PU,ADVL,PU,ACC
24401,P<,PU,ADVL,P<,ADVL,PU
24402,PU,ADVL,>N,N<,P<,ADVL
24403,ADVL,>N,P<,P<,N<,P<
24404,>N,P<,PU,PU,P<,N<
24405,P<,PU,ADVL,ADVL,PU,P<
24406,PU,ADVL,>N,>N,ADVL,PU
24407,ADVL,>N,P<,P<,>N,ADVL
24408,>N,P<,N<,PU,P<,>N
24409,P<,N<,PU,ADVL,PU,P<
24410,N<,PU,P<,>N,ADVL,PU
24411,PU,P<,PU,P<,>N,ADVL
24412,P<,PU,PU,N<,P<,>N
24413,PU,PU,,PU,N<,P<
24414,PU,,,P<,PU,N<
24415,,,,PU,P<,PU
24416,SUBJ,STA,ACC,,,
24417,STA,ACC,>N,>N,,
24418,ACC,>N,PU,SUBJ,>N,
24419,>N,PU,ACC,STA,SUBJ,>N
24420,PU,ACC,PU,ACC,STA,SUBJ
24421,ACC,PU,ADVL,>N,ACC,STA
24422,PU,ADVL,P<,PU,>N,ACC
24423,ADVL,P<,N<,ACC,PU,>N
24424,P<,N<,P<,PU,ACC,PU
24425,N<,P<,PU,ADVL,PU,ACC
24426,P<,PU,ADVL,P<,ADVL,PU
24427,PU,ADVL,>N,N<,P<,ADVL
24428,ADVL,>N,P<,P<,N<,P<
24429,>N,P<,PU,PU,P<,N<
24430,P<,PU,ADVL,ADVL,PU,P<
24431,PU,ADVL,>N,>N,ADVL,PU
24432,ADVL,>N,P<,P<,>N,ADVL
24433,>N,P<,N<,PU,P<,>N
24434,P<,N<,PU,ADVL,PU,P<
24435,N<,PU,P<,>N,ADVL,PU
24436,PU,P<,PU,P<,>N,ADVL
24437,P<,PU,PU,N<,P<,>N
24438,PU,PU,,PU,N<,P<
24439,PU,,,P<,PU,N<
24440,,,,PU,P<,PU
24441,>N,P<,N<,,,
24442,P<,N<,>N,ADVL,,
24443,N<,>N,>N,>N,ADVL,
24444,>N,>N,>N,P<,>N,ADVL
24445,>N,>N,P<,N<,P<,>N
24446,>N,P<,N<,>N,N<,P<
24447,P<,N<,P<,>N,>N,N<
24448,N<,P<,STA,>N,>N,>N
24449,P<,STA,>N,P<,>N,>N
24450,STA,>N,>N,N<,P<,>N
24451,>N,>N,SUBJ,P<,N<,P<
24452,>N,SUBJ,PU,STA,P<,N<
24453,SUBJ,PU,,>N,STA,P<
24454,PU,,,>N,>N,STA
24455,,,,SUBJ,>N,>N
24456,>N,SUBJ,FOC,,,
24457,SUBJ,FOC,STA,FOC,,
24458,FOC,STA,>N,>N,FOC,
24459,STA,>N,ACC,SUBJ,>N,FOC
24460,>N,ACC,ACC,FOC,SUBJ,>N
24461,ACC,ACC,N<,STA,FOC,SUBJ
24462,ACC,N<,X,>N,STA,FOC
24463,N<,X,CO,ACC,>N,STA
24464,X,CO,PU,ACC,ACC,>N
24465,CO,PU,ADVL,N<,ACC,ACC
24466,PU,ADVL,PU,X,N<,ACC
24467,ADVL,PU,CJT,CO,X,N<
24468,PU,CJT,PU,PU,CO,X
24469,CJT,PU,ADVL,ADVL,PU,CO
24470,PU,ADVL,ACC,PU,ADVL,PU
24471,ADVL,ACC,ADVL,CJT,PU,ADVL
24472,ACC,ADVL,>N,PU,CJT,PU
24473,ADVL,>N,P<,ADVL,PU,CJT
24474,>N,P<,CO,ACC,ADVL,PU
24475,P<,CO,CJT,ADVL,ACC,ADVL
24476,CO,CJT,PU,>N,ADVL,ACC
24477,CJT,PU,ADVL,P<,>N,ADVL
24478,PU,ADVL,PU,CO,P<,>N
24479,ADVL,PU,>N,CJT,CO,P<
24480,PU,>N,ACC,PU,CJT,CO
24481,>N,ACC,PU,ADVL,PU,CJT
24482,ACC,PU,SUBJ,PU,ADVL,PU
24483,PU,SUBJ,N<PRED,>N,PU,ADVL
24484,SUBJ,N<PRED,SC,ACC,>N,PU
24485,N<PRED,SC,PU,PU,ACC,>N
24486,SC,PU,CJT,SUBJ,PU,ACC
24487,PU,CJT,CO,N<PRED,SUBJ,PU
24488,CJT,CO,CJT,SC,N<PRED,SUBJ
24489,CO,CJT,PU,PU,SC,N<PRED
24490,CJT,PU,,CJT,PU,SC
24491,PU,,,CO,CJT,PU
24492,,,,CJT,CO,CJT
24493,>N,SUBJ,FOC,,,
24494,SUBJ,FOC,STA,FOC,,
24495,FOC,STA,>N,>N,FOC,
24496,STA,>N,ACC,SUBJ,>N,FOC
24497,>N,ACC,ACC,FOC,SUBJ,>N
24498,ACC,ACC,N<,STA,FOC,SUBJ
24499,ACC,N<,X,>N,STA,FOC
24500,N<,X,CO,ACC,>N,STA
24501,X,CO,PU,ACC,ACC,>N
24502,CO,PU,ADVL,N<,ACC,ACC
24503,PU,ADVL,PU,X,N<,ACC
24504,ADVL,PU,CJT,CO,X,N<
24505,PU,CJT,PU,PU,CO,X
24506,CJT,PU,ADVL,ADVL,PU,CO
24507,PU,ADVL,ACC,PU,ADVL,PU
24508,ADVL,ACC,ADVL,CJT,PU,ADVL
24509,ACC,ADVL,>N,PU,CJT,PU
24510,ADVL,>N,P<,ADVL,PU,CJT
24511,>N,P<,CO,ACC,ADVL,PU
24512,P<,CO,CJT,ADVL,ACC,ADVL
24513,CO,CJT,PU,>N,ADVL,ACC
24514,CJT,PU,ADVL,P<,>N,ADVL
24515,PU,ADVL,PU,CO,P<,>N
24516,ADVL,PU,>N,CJT,CO,P<
24517,PU,>N,ACC,PU,CJT,CO
24518,>N,ACC,PU,ADVL,PU,CJT
24519,ACC,PU,SUBJ,PU,ADVL,PU
24520,PU,SUBJ,N<PRED,>N,PU,ADVL
24521,SUBJ,N<PRED,SC,ACC,>N,PU
24522,N<PRED,SC,PU,PU,ACC,>N
24523,SC,PU,CJT,SUBJ,PU,ACC
24524,PU,CJT,CO,N<PRED,SUBJ,PU
24525,CJT,CO,CJT,SC,N<PRED,SUBJ
24526,CO,CJT,PU,PU,SC,N<PRED
24527,CJT,PU,,CJT,PU,SC
24528,PU,,,CO,CJT,PU
24529,,,,CJT,CO,CJT
24530,>N,SUBJ,FOC,,,
24531,SUBJ,FOC,STA,FOC,,
24532,FOC,STA,>N,>N,FOC,
24533,STA,>N,ACC,SUBJ,>N,FOC
24534,>N,ACC,ACC,FOC,SUBJ,>N
24535,ACC,ACC,N<,STA,FOC,SUBJ
24536,ACC,N<,X,>N,STA,FOC
24537,N<,X,CO,ACC,>N,STA
24538,X,CO,PU,ACC,ACC,>N
24539,CO,PU,ADVL,N<,ACC,ACC
24540,PU,ADVL,PU,X,N<,ACC
24541,ADVL,PU,CJT,CO,X,N<
24542,PU,CJT,PU,PU,CO,X
24543,CJT,PU,ADVL,ADVL,PU,CO
24544,PU,ADVL,ACC,PU,ADVL,PU
24545,ADVL,ACC,ADVL,CJT,PU,ADVL
24546,ACC,ADVL,>N,PU,CJT,PU
24547,ADVL,>N,P<,ADVL,PU,CJT
24548,>N,P<,CO,ACC,ADVL,PU
24549,P<,CO,CJT,ADVL,ACC,ADVL
24550,CO,CJT,PU,>N,ADVL,ACC
24551,CJT,PU,ADVL,P<,>N,ADVL
24552,PU,ADVL,PU,CO,P<,>N
24553,ADVL,PU,>N,CJT,CO,P<
24554,PU,>N,ACC,PU,CJT,CO
24555,>N,ACC,PU,ADVL,PU,CJT
24556,ACC,PU,SUBJ,PU,ADVL,PU
24557,PU,SUBJ,N<PRED,>N,PU,ADVL
24558,SUBJ,N<PRED,SC,ACC,>N,PU
24559,N<PRED,SC,PU,PU,ACC,>N
24560,SC,PU,CJT,SUBJ,PU,ACC
24561,PU,CJT,CO,N<PRED,SUBJ,PU
24562,CJT,CO,CJT,SC,N<PRED,SUBJ
24563,CO,CJT,PU,PU,SC,N<PRED
24564,CJT,PU,,CJT,PU,SC
24565,PU,,,CO,CJT,PU
24566,,,,CJT,CO,CJT
24567,SUB,SUBJ,N<,,,
24568,SUBJ,N<,SC,STA,,
24569,N<,SC,PU,SUB,STA,
24570,SC,PU,CJT,SUBJ,SUB,STA
24571,PU,CJT,CO,N<,SUBJ,SUB
24572,CJT,CO,CJT,SC,N<,SUBJ
24573,CO,CJT,PU,PU,SC,N<
24574,CJT,PU,ADVL,CJT,PU,SC
24575,PU,ADVL,>N,CO,CJT,PU
24576,ADVL,>N,ACC,CJT,CO,CJT
24577,>N,ACC,N<,PU,CJT,CO
24578,ACC,N<,>N,ADVL,PU,CJT
24579,N<,>N,P<,>N,ADVL,PU
24580,>N,P<,N<ARGO,ACC,>N,ADVL
24581,P<,N<ARGO,>N,N<,ACC,>N
24582,N<ARGO,>N,P<,>N,N<,ACC
24583,>N,P<,PU,P<,>N,N<
24584,P<,PU,ACC,N<ARGO,P<,>N
24585,PU,ACC,ADVL,>N,N<ARGO,P<
24586,ACC,ADVL,KOMP<,P<,>N,N<ARGO
24587,ADVL,KOMP<,ADVL,PU,P<,>N
24588,KOMP<,ADVL,PU,ACC,PU,P<
24589,ADVL,PU,ACC,ADVL,ACC,PU
24590,PU,ACC,>N,KOMP<,ADVL,ACC
24591,ACC,>N,ACC,ADVL,KOMP<,ADVL
24592,>N,ACC,ADVL,PU,ADVL,KOMP<
24593,ACC,ADVL,>N,ACC,PU,ADVL
24594,ADVL,>N,P<,>N,ACC,PU
24595,>N,P<,N<ARGO,ACC,>N,ACC
24596,P<,N<ARGO,>N,ADVL,ACC,>N
24597,N<ARGO,>N,P<,>N,ADVL,ACC
24598,>N,P<,PU,P<,>N,ADVL
24599,P<,PU,,N<ARGO,P<,>N
24600,PU,,,>N,N<ARGO,P<
24601,,,,P<,>N,N<ARGO
24602,SUB,SUBJ,N<,,,
24603,SUBJ,N<,SC,STA,,
24604,N<,SC,PU,SUB,STA,
24605,SC,PU,CJT,SUBJ,SUB,STA
24606,PU,CJT,CO,N<,SUBJ,SUB
24607,CJT,CO,CJT,SC,N<,SUBJ
24608,CO,CJT,PU,PU,SC,N<
24609,CJT,PU,ADVL,CJT,PU,SC
24610,PU,ADVL,>N,CO,CJT,PU
24611,ADVL,>N,ACC,CJT,CO,CJT
24612,>N,ACC,N<,PU,CJT,CO
24613,ACC,N<,>N,ADVL,PU,CJT
24614,N<,>N,P<,>N,ADVL,PU
24615,>N,P<,N<ARGO,ACC,>N,ADVL
24616,P<,N<ARGO,>N,N<,ACC,>N
24617,N<ARGO,>N,P<,>N,N<,ACC
24618,>N,P<,PU,P<,>N,N<
24619,P<,PU,ACC,N<ARGO,P<,>N
24620,PU,ACC,ADVL,>N,N<ARGO,P<
24621,ACC,ADVL,KOMP<,P<,>N,N<ARGO
24622,ADVL,KOMP<,ADVL,PU,P<,>N
24623,KOMP<,ADVL,PU,ACC,PU,P<
24624,ADVL,PU,ACC,ADVL,ACC,PU
24625,PU,ACC,>N,KOMP<,ADVL,ACC
24626,ACC,>N,ACC,ADVL,KOMP<,ADVL
24627,>N,ACC,ADVL,PU,ADVL,KOMP<
24628,ACC,ADVL,>N,ACC,PU,ADVL
24629,ADVL,>N,P<,>N,ACC,PU
24630,>N,P<,N<ARGO,ACC,>N,ACC
24631,P<,N<ARGO,>N,ADVL,ACC,>N
24632,N<ARGO,>N,P<,>N,ADVL,ACC
24633,>N,P<,PU,P<,>N,ADVL
24634,P<,PU,,N<ARGO,P<,>N
24635,PU,,,>N,N<ARGO,P<
24636,,,,P<,>N,N<ARGO
24637,SUB,SUBJ,N<,,,
24638,SUBJ,N<,SC,STA,,
24639,N<,SC,PU,SUB,STA,
